Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(5),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Es_relativistic
72.3,0.0025843069535225675,0.000527461411451601,0.0011953341115785046,0.0005737799835464306,0.00011752021773658606,0.0003693100438989959,0.0002099951515336694,3.5949334890039654e-05,2.321015601273012e-05,3.214234188905263e-05,0.00010681441120991169,6.298038425922941e-05,1.2584879875330242e-05,8.190135006847637e-06,2.1085768187044147e-07,1.5145709339062017e-07,8.79059985119196e-06,2.828924476116453e-05,1.6540042222722468e-05,2.9324395323404343e-06,1.8859086262262645e-06,2.7634470250463846e-08,1.882893518454632e-08,1.7250205817317617e-06,4.634988034116714e-06,2.2625924945560655e-06,8.422931706500552e-08,0.013823380333292848
72.35000000000001,0.0025816504258876567,0.0005273165211244675,0.0011925455568653097,0.0005719877338314801,0.00011751922111782567,0.00036848262907232245,0.00020933128420593336,3.578070888851047e-05,2.3092606757933734e-05,3.214211900703369e-05,0.0001065800441483696,6.27810379911641e-05,1.2525349628934776e-05,8.14829591941461e-06,2.0949367577601384e-07,1.504356997885625e-07,8.790432026743257e-06,2.8227588940898578e-05,1.6487701203611258e-05,2.918564619428412e-06,1.8762796536352818e-06,2.744877723104548e-08,1.8704908863398055e-08,1.7249729823125435e-06,4.624795467452585e-06,2.255390154851627e-06,8.422440683777619e-08,0.013797069903036684
72.4,0.0025789961331532532,0.0005271707143557613,0.0011897640323660147,0.0005702014699088059,0.000117518147394981,0.00036765700207075456,0.00020866959891491463,3.5612953893048314e-05,2.2975704530821855e-05,3.214191824807188e-05,0.0001063461437609625,6.258234044002313e-05,1.2466129008283125e-05,8.106688947864282e-06,2.0813926593478907e-07,1.4942174780755622e-07,8.790274886513258e-06,2.8166052776119345e-05,1.6435531102508205e-05,2.904757314204017e-06,1.8666995124663854e-06,2.7263727462260665e-08,1.858126642135996e-08,1.724929144233952e-06,4.614611673853924e-06,2.2482055687753424e-06,8.422004775065845e-08,0.013770827560580654
72.45,0.0025763440753956476,0.0005270239921073012,0.0011869895204776602,0.0005684211712310041,0.00011751699399540768,0.0003668331605330912,0.000208010088771213,3.544606503274064e-05,2.2859445508507e-05,3.214173837041975e-05,0.00010611270975201533,6.238428964223453e-05,1.24072162738558e-05,8.065312711830932e-06,2.0679437927725484e-07,1.484151790195753e-07,8.790128038896877e-06,2.810463607280542e-05,1.6383530987188835e-05,2.891016990510002e-06,1.8571676518015156e-06,2.707941127832963e-08,1.8458065114072345e-08,1.7248889851491559e-06,4.604438599781495e-06,2.2410393650174944e-06,8.421622595479178e-08,0.01374465308001722
72.5,0.0025736942526838075,0.000526876355365465,0.0011842220036339794,0.0005666468173190761,0.00011751575837884029,0.00036601110208786644,0.00020735274690226346,3.528003746575927e-05,2.2743825892089983e-05,3.2141578145964625e-05,0.00010587974182025391,6.218688363810849e-05,1.234860969652476e-05,8.024165839633245e-06,2.0545894333480983e-07,1.47415935488981e-07,8.789991096949247e-06,2.80433386327695e-05,1.6331699914108706e-05,2.8773431006666565e-06,1.8476835994041262e-06,2.6895930297831888e-08,1.8335370063980254e-08,1.7248523949156213e-06,4.594278316741528e-06,2.2338922520020847e-06,8.421289888798121e-08,0.013718546237629711
72.55,0.0025710466650794,0.0005267278051409234,0.0011814614643053838,0.0005648783877622338,0.0001175144380371258,0.0003651908243534843,0.00020669756645234672,3.5114866379177184e-05,2.262884190650156e-05,3.2141436360119116e-05,0.00010564723965885975,6.199012047185169e-05,1.2290307557489107e-05,7.983246968218177e-06,2.0413288623956146e-07,1.464239597734207e-07,8.789863678292289e-06,2.798216025593338e-05,1.6280036935014983e-05,2.863735177657149e-06,1.8382469640118815e-06,2.671340197806152e-08,1.821326494566787e-08,1.7248192380340447e-06,4.584132993240434e-06,2.2267650281928853e-06,8.421000733416143e-08,0.013692506812036728
72.60000000000001,0.002568401312636812,0.0005265783424683755,0.0011787078849989484,0.0005631158622177061,0.00011751303049395882,0.00036437232493835244,0.00020604454058259893,3.49505469887865e-05,2.2514489800345178e-05,3.214131181171232e-05,0.00010541520295552435,6.179399819158143e-05,1.2232308148211345e-05,7.942554743105422e-06,2.0281613672399522e-07,1.4543919492459398e-07,8.78974540501511e-06,2.792110074262737e-05,1.622854110367308e-05,2.8501928361209877e-06,1.8288574364260488e-06,2.6531961124633093e-08,1.809185646600062e-08,1.724789356673753e-06,4.57400486414498e-06,2.219658585475841e-06,8.420749000530592e-08,0.013666534584248994
72.65,0.0025657581954031763,0.0005264279684062869,0.0011759612482584,0.0005613592204105476,0.00011751153330461872,0.00036355560144101635,0.00020539366247102184,3.478707453891789e-05,2.2400765845740973e-05,3.214120331288182e-05,0.00010518363139250374,6.159851484933981e-05,1.2174609770354234e-05,7.902087818332486e-06,2.0150862412044424e-07,1.4446158448881034e-07,8.78963590356965e-06,2.786015989587968e-05,1.6177211482606774e-05,2.8367157721425776e-06,1.8195147893832969e-06,2.6351757391986508e-08,1.7971268832826327e-08,1.7247625741670946e-06,4.563896197467874e-06,2.212573903382382e-06,8.42052945753926e-08,0.013640629337592228
72.7,0.00256311731341839,0.000526276684036629,0.0011732215366640978,0.0005596084421334422,0.00011750994405570845,0.00036274065145028983,0.00020474492531249037,3.462444430226069e-05,2.2287666338170495e-05,3.214110968896638e-05,0.00010495252464667167,6.140366850110702e-05,1.2117210735718002e-05,7.861844856400202e-06,2.0021027836028302e-07,1.4349107250726082e-07,8.789534804663039e-06,2.779933752366093e-05,1.612604714974964e-05,2.8233037618400116e-06,1.8102188762138954e-06,2.617294950617146e-08,1.785163172922567e-08,1.724738698841583e-06,4.553809258865194e-06,2.2055120331217566e-06,8.420338195564274e-08,0.013614790857507011
72.75,0.0025604786667151377,0.0005261244904646204,0.00117048873283302,0.0005578635072465128,0.00011750826036489521,0.00036192747254538727,0.0002040983223187615,3.44626515796847e-05,2.2175187596322835e-05,3.214102977839941e-05,0.00010472188238957344,6.120945720681504e-05,1.2060109366178216e-05,7.821824528218863e-06,1.989210299727868e-07,1.4252760351593865e-07,8.789441743148198e-06,2.7738633441050096e-05,1.607504720490742e-05,2.809956658777555e-06,1.8009696283087896e-06,2.5995698055604583e-08,1.7733069940884882e-08,1.7247175280499758e-06,4.543746274425513e-06,2.1984740717294392e-06,8.420172432580055e-08,0.013589018931280636
