Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(10),J_4s(1),J_total_Cu
26.700000000000003,0.004457973117894552,0.0008429008157603199,0.0002696719487604193,0.00013018226410896143,4.047397290138929e-05,7.463300509849769e-07,3.9622349681774514e-06,0.012734413460976547
26.75,0.004434735671579067,0.0008377768793152385,0.0002667055622425054,0.0001293739271554047,4.003386185157981e-05,7.347711549718343e-07,3.9375696756285065e-06,0.012655494781889279
26.8,0.004411617437938857,0.0008326818503872667,0.0002637747602446989,0.00012857018989272063,3.959896208472047e-05,7.234067600392582e-07,3.91304475187294e-06,0.01257712840276647
26.85,0.004388617895433667,0.000827615635976078,0.00026087908405992996,0.0001277710392796566,3.9169207363934547e-05,7.12233335674763e-07,3.888659809431117e-06,0.01249930988308817
26.900000000000002,0.004365736523433342,0.0008225781418473927,0.0002580180812474591,0.00012697646200550368,3.874453234378245e-05,7.012474200967647e-07,3.864414452217462e-06,0.012422034824773111
26.950000000000003,0.004342972802236645,0.0008175692725721137,0.0002551913055434876,0.00012618644449827917,3.8324872557750304e-05,6.904456188263137e-07,3.840308275799772e-06,0.012345298871685565
27.0,0.004320326213089753,0.0008125889315647527,0.00025239831677307536,0.00012540097293275393,3.7910164405917924e-05,6.79824603290386e-07,3.816340867653599e-06,0.012269097709149036
27.05,0.0042977962382044,0.0008076370211211558,0.0002496386807633469,0.00012462003323832673,3.750034514280349e-05,6.693811094559854e-07,3.79251180741173e-06,0.01219342706346664
27.1,0.004275382360775713,0.000802713442455544,0.00024691196925796804,0.00012384361110674865,3.709535286538282e-05,6.591119364943546e-07,3.768820667108948e-06,0.012118282701448168
27.150000000000002,0.004253084064999687,0.0007978180957368698,0.00024421775983287253,0.0001230716919996984,3.66951265012802e-05,6.490139454745751e-07,3.745267011422061e-06,0.012043660429943596
27.200000000000003,0.004230900836090364,0.0007929508801245044,0.0002415556358132221,0.00012230426115621205,3.6299605797128837e-05,6.390840580858738e-07,3.7218503979052434e-06,0.01196955609538303
27.25,0.004208832160296673,0.0007881116938032645,0.00023892518619158108,0.00012154130359996866,3.590873130709822e-05,6.293192553879765e-07,3.698570377220844e-06,0.011895965583322987
27.3,0.004186877524918951,0.0007833004340177849,0.00023632600554728737,0.00012078280414643383,3.5522444381586124e-05,6.197165765888441e-07,3.675426493365672e-06,0.011822884817998836
27.35,0.004165036418325163,0.0007785169971062513,0.00023375769396700443,0.00012002874740986433,3.514068715607305e-05,6.102731178491692e-07,3.6524182838928633e-06,0.01175030976188341
27.400000000000002,0.004143308329966797,0.0007737612785334958,0.00023121985696643354,0.00011927911781017455,3.476340254013647e-05,6.009860311129978e-07,3.6295452801293573e-06,0.011678236415251616
27.450000000000003,0.004121692750394452,0.0007690331729234695,0.00022871210541317198,0.00011853389957966786,3.439053420662289e-05,5.918525229638825e-07,3.6068070073890838e-06,0.011606660815750977
27.5,0.004100189171273127,0.0007643325740910989,0.00022623405545069944,0.00011779307676963477,3.402202658097533e-05,5.828698535059709e-07,3.584202985181915e-06,0.011535579037978012
27.55,0.004078797085397198,0.0007596593750735335,0.0002237853284234751,0.00011705663325681946,3.3657824830713964e-05,5.740353352694526e-07,3.5617327274184435e-06,0.011464987193060348
27.6,0.004057515986705109,0.0007550134681607981,0.00022136555080313173,0.00011632455274975769,3.329787485506799e-05,5.65346332139811e-07,3.539395742610666e-06,0.011394881428244536
27.650000000000002,0.004036345370293755,0.0007503947449258524,0.0002189743541157473,0.0001155968187949871,3.294212327475618e-05,5.568002583103178e-07,3.5171915340686177e-06,0.011325257926489382
27.700000000000003,0.004015284732432581,0.0007458030962540709,0.0002166113748701806,0.00011487341478313255,3.259051742191424e-05,5.483945772572485e-07,3.4951196000930416e-06,0.011256112906064802
27.75,0.003994333570577387,0.0007412384123721505,0.00021427625448745436,0.00011415432395486821,3.224300533016686e-05,5.401268007372893e-07,3.473179434164142e-06,0.011187442620156076
27.8,0.0039734913833838455,0.0007367005828764524,0.00021196863923117002,0.0001134395294067584,3.1899535724842174e-05,5.319944878066257e-07,3.4513705251264864e-06,0.01111924335647338
