Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_total_Sb_relativistic
12.9,0.013137811294453176,0.008284135767752082,0.018957224684695483,0.018994257072087056,0.005863895652109917,0.0025925527074189504,0.002682444612415842,0.009064555193366495,0.008806468667048302,0.0015798500132190266,0.000616420196525133,0.000572114457520454,0.001504203220263536,0.0014624436222741045,0.00020877251422128938,5.455737430582973e-05,4.627170362545413e-05,0.2955667557752006
12.950000000000001,0.013120793206712356,0.008176411839421856,0.018880875974654977,0.018910077363537735,0.005805178935658909,0.002581582910912287,0.0026765297558987975,0.008941810406623863,0.00868523133153522,0.001567538470032202,0.0006071488884292275,0.0005657376728527289,0.0014863864560227518,0.0014446852763150273,0.00020726739969081738,5.361969548068183e-05,4.565869341390002e-05,0.29319381829565944
13.0,0.013103739999184827,0.008069941685837464,0.01880447306421125,0.01882588803302998,0.005746475089869827,0.0025712657057339774,0.0026710758378874874,0.00882062469706143,0.008565564859558774,0.001555097669285543,0.0005982710284603165,0.0005596783095672884,0.001468715258564621,0.0014270807271506097,0.00020574093871420174,5.272036806680238e-05,4.507488546275822e-05,0.29084540293435346
13.05,0.013086651956352424,0.007964717634227585,0.018728020703893702,0.018741694365981502,0.005687801170261919,0.002561573793466304,0.002666058612909597,0.008700982513458492,0.008447453015718434,0.00154253455479972,0.0005897740261264458,0.0005539246137379895,0.0014511908699838397,0.0014096309621199046,0.00020419409086268014,5.185820500372945e-05,4.4519236146624904e-05,0.288521198513598
13.100000000000001,0.013069529362622623,0.00786073193294784,0.01865152361482856,0.01865750160522766,0.005629173849791489,0.0025524806107307062,0.0026614545825547533,0.008582868313806297,0.008330879589634533,0.0015298560152259217,0.0005816455654282027,0.0005484651325753518,0.00143381442214739,0.0013923368624815552,0.0002026278132852318,5.1032043805881796e-05,4.399072750146698e-05,0.28622089801027817
13.15,0.013052372502319807,0.007757976754594384,0.01857498648812214,0.018573314950435568,0.005570609417193148,0.002543960316456768,0.0026572409800980482,0.008466266571106777,0.00821582840155395,0.0015170688767744893,0.000573873602946944,0.0005432887104034381,0.0014165869403436554,0.0013751992070998571,0.00020104305930640685,5.0240746445709287e-05,4.3488366956032544e-05,0.28394419852370445
13.200000000000001,0.01303518165967657,0.007656444199078257,0.018498413984261768,0.01848913955753995,0.005512123775805803,0.002535987779157959,0.002653395755233011,0.008351161778950993,0.008102283307732362,0.0015041798964707583,0.0005664463657288258,0.0005383844845155417,0.00139950934686251,0.0013582186760552313,0.00019944077711790106,4.948319921033548e-05,4.301118706670658e-05,0.28169080124228335
13.25,0.013017957118825066,0.007556126296660259,0.01842181073253418,0.018404980538200638,0.005453732442860215,0.00252853856422506,0.002649897558922798,0.00823753845688255,0.007990228205598622,0.00149119575591529,0.0005593523489795916,0.0005337418809216205,0.001382582464505007,0.001341395854178159,0.00019782190855933482,4.8758312536918156e-05,4.255824524545607e-05,0.27946041140907385
13.3,0.013000699163788378,0.007457015010946048,0.01834518133046134,0.018320842959281377,0.005395450549205545,0.002521588921247628,0.0026467257283777842,0.008125381155550995,0.007879647038706592,0.0014781230555263043,0.0005525803135843959,0.0005293506099997433,0.0013658070200214252,0.0013247312345058397,0.00019618738798224858,4.806502083893271e-05,4.212862347506904e-05,0.27725273828631164
13.350000000000001,0.012983408078471944,0.0073591022418413535,0.01826853034325356,0.018236731842349863,0.005337292839453112,0.002515115771373323,0.0026438602721671964,0.00801467446166043,0.0077705238014799585,0.001464968309242806,0.0005461192834663041,0.0005252006620631754,0.0013491836474767405,0.001308225221661166,0.0001945381411918075,4.740228233058597e-05,4.172142800588984e-05,0.27506749511897777
