Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_total_S
30.3,0.0005274291275074398,5.3882737137325406e-05,4.675928334216162e-06,2.3946126393257707e-06,1.589638090045824e-07,0.0011869791170299358
30.35,0.0005233662242765452,5.343560706281941e-05,4.636865860813406e-06,2.366331338576115e-06,1.5707609464898107e-07,0.0011777036868104087
30.400000000000002,0.0005193383875295309,5.299270331493684e-05,4.598175820840494e-06,2.3384225213913375e-06,1.552133868533523e-07,0.0011685099220063778
30.450000000000003,0.0005153452866419904,5.255398141035353e-05,4.559854251900484e-06,2.310880782021473e-06,1.5337532038890065e-07,0.001159397030582173
30.5,0.0005113865943167598,5.2119397377083984e-05,4.521897237740718e-06,2.2837008003209596e-06,1.5156153585213944e-07,0.0011503642288085037
30.55,0.000507461986549049,5.168890774817897e-05,4.4843009076752365e-06,2.2568773402815274e-06,1.4977167956424134e-07,0.0011414107411697523
30.6,0.0005035711425919444,5.126246955550507e-05,4.44706143601482e-06,2.230405248592126e-06,1.4800540347225902e-07,0.0011325358002723703
30.650000000000002,0.0004997137449222737,5.084004032360452e-05,4.410175041504541e-06,2.2042794532253206e-06,1.462623650521801e-07,0.001123738646754326
30.700000000000003,0.0004958894792068326,5.042157806363464e-05,4.373637986768735e-06,2.178494962049667e-06,1.445422272137803e-07,0.0011150185291956254
30.75,0.0004920980342689704,5.000704126738574e-05,4.337446577763284e-06,2.153046861467545e-06,1.4284465820723543e-07,0.0011063747040298728
30.8,0.0004883391020555259,4.9596388901376215e-05,4.301597163235108e-06,2.1279303150779443e-06,1.4116933153146105e-07,0.001097806435456868
30.85,0.0004846123776041182,4.918958040102436e-05,4.266086134188794e-06,2.103140562363738e-06,1.3951592584414577e-07,0.0010893129953562218
30.900000000000002,0.0004809175590107804,4.878657566489521e-05,4.230909923360223e-06,2.0786729174029293e-06,1.378841248734426e-07,0.0010808936632019832
30.950000000000003,0.0004772543473979379,4.8387335049021855e-05,4.196065004697134e-06,2.0545227676034353e-06,1.3627361733128658e-07,0.0010725477259782596
31.0,0.0004736224468827266,4.799181936130014e-05,4.16154789284652e-06,2.0306855724609346e-06,1.3468409682830735e-07,0.0010642744780958256
31.05,0.0004700215645456456,4.759998985595559e-05,4.127355142648747e-06,2.0071568623393252e-06,1.3311526179030385e-07,0.001056073221309697
31.1,0.00046645141039954534,4.7211808228082055e-05,4.09348334863835e-06,1.983932237273373e-06,1.315668153762523e-07,0.001047943264637677
31.150000000000002,0.0004629116973589426,4.6827236608250554e-05,4.059929144551356e-06,1.9610073657930895e-06,1.3003846539781591e-07,0.0010398839242798388
31.200000000000003,0.00045940214120966243,4.644623755718776e-05,4.026689202839088e-06,1.938377983769446e-06,1.2852992424032727e-07,0.0010318945235389565
31.25,0.0004559224605788027,4.6068774060523124e-05,3.993760234188351e-06,1.9160398932809927e-06,1.2704090878521478e-07,0.0010239743927418549
31.3,0.0004524723769050167,4.569480952360355e-05,3.961138987047895e-06,1.8939889615009805e-06,1.2557114033384476e-07,0.0010161228691616775
31.35,0.00044905161440911414,4.532430776637517e-05,3.928822247161114e-06,1.8722211196046044e-06,1.2412034453275265e-07,0.0010083392969410594
31.400000000000002,0.0004456599000649724,4.495723301833071e-05,3.896806837104841e-06,1.8507323616959562e-06,1.2268825130023396e-07,0.0010006230270161924
31.450000000000003,0.0004422969635707584,4.4593549913522045e-05,3.8650896158341985e-06,1.829518743754323e-06,1.2127459475427041e-07,0.0009929734170417723
31.5,0.0004389625373204565,4.423322348563696e-05,3.833667478233401e-06,1.8085763825994552e-06,1.1987911314176467e-07,0.0009853898313168176
31.55,0.0004356563563756987,4.3876219163139044e-05,3.8025373546724317e-06,1.7879014548754315e-06,1.1850154876905783e-07,0.0009778716407113492
31.6,0.0004323781584378968,4.352250276447034e-05,3.771696210569532e-06,1.767490196052784e-06,1.1714164793370632e-07,0.0009704182225939248
31.650000000000002,0.0004291276838206692,4.317204049331539e-05,3.741141045959392e-06,1.7473388994485045e-06,1.1579916085749182e-07,0.000963028960760009
31.700000000000003,0.00042590467542256256,4.282479893392621e-05,3.7108688950669904e-06,1.7274439152636122e-06,1.1447384162064146e-07,0.0009557032453611757
31.75,0.00042270887870006377,4.248074504650732e-05,3.680876825887e-06,1.7078016496379377e-06,1.131654480972349e-07,0.0009484404728351327
31.8,0.00041954004164089894,4.213984616265978e-05,3.651161939768673e-06,1.6884085637217882e-06,1.118737418917747e-07,0.0009412400458365527
31.85,0.0004163979147376191,4.180206998088404e-05,3.6217213710061597e-06,1.6692611727641925e-06,1.1059848827689911e-07,0.0009341013731687113
31.900000000000002,0.00041328225096146505,4.146738456214007e-05,3.5925522864341485e-06,1.6503560452173804e-06,1.0933945613221321e-07,0.0009270238697159116
