Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(4),J_total_sulfur
47.900000000000006,4.964082986840268e-05,4.281963122878133e-06,3.649215332927932e-07,7.978502688566461e-08,5.215916396225709e-09,9.928165973680536e-05,8.563926245756266e-06,4.787101613139877e-07,7.298430665855864e-07,2.0863665584902835e-08,0.0001090750028760461
47.95,4.9361824897895884e-05,4.256938173785571e-06,3.6278115268213667e-07,7.915359935765062e-08,5.174478322103406e-09,9.872364979579177e-05,8.513876347571141e-06,4.7492159614590374e-07,7.255623053642733e-07,2.0697913288413623e-08,0.00010845870795816152
48.0,4.9084609609773624e-05,4.2320812309130935e-06,3.60655202933042e-07,7.852775991067282e-08,5.133408333224027e-09,9.816921921954725e-05,8.464162461826187e-06,4.711665594640369e-07,7.21310405866084e-07,2.0533633332896107e-08,0.00010784639228003644
48.050000000000004,4.880917110525201e-05,4.207391018693669e-06,3.5854357394060364e-07,7.790745386897283e-08,5.092702815315342e-09,9.761834221050402e-05,8.414782037387338e-06,4.67444723213837e-07,7.170871478812073e-07,2.0370811261261367e-08,0.00010723802693024767
48.1,4.853549658830611e-05,4.182866272341042e-06,3.564461565357469e-07,7.729262714248088e-08,5.05235819295354e-09,9.707099317661222e-05,8.365732544682085e-06,4.637557628548853e-07,7.128923130714938e-07,2.020943277181416e-08,0.00010663358322999249
48.150000000000006,4.826357336477682e-05,4.158505737749559e-06,3.5436284247647625e-07,7.668322622000155e-08,5.012370929109782e-09,9.652714672955364e-05,8.317011475499118e-06,4.600993573200093e-07,7.087256849529525e-07,2.004948371643913e-08,0.00010603303273104217
48.2,4.7993388841486746e-05,4.134308171395051e-06,3.52293524439217e-07,7.60791981624863e-08,4.97273752470249e-09,9.598677768297349e-05,8.268616342790101e-06,4.5647518897491775e-07,7.04587048878434e-07,1.989095009880996e-08,0.00010543634721371576
48.25,4.7724930525363705e-05,4.110272340236674e-06,3.5023809601024075e-07,7.548049059638926e-08,4.933454518155174e-09,9.544986105072741e-05,8.220544680473348e-06,4.5288294357833557e-07,7.004761920204815e-07,1.9733818072620695e-08,0.00010484349868487219
48.300000000000004,4.745818602257289e-05,4.08639702161977e-06,3.4819645167718177e-07,7.488705170710685e-08,4.894518484959907e-09,9.491637204514577e-05,8.17279404323954e-06,4.493223102426411e-07,6.963929033543635e-07,1.957807393983963e-08,0.00010425445937592217
48.35,4.719314303765708e-05,4.0626810031797055e-06,3.4616848682063823e-07,7.429883023249961e-08,4.855926037246273e-09,9.438628607531415e-05,8.125362006359411e-06,4.457929813949977e-07,6.923369736412765e-07,1.9423704148985092e-08,0.00010366920174085883
48.400000000000006,4.692978937268456e-05,4.039123082746645e-06,3.441540977058565e-07,7.371577545649414e-08,4.817673823355632e-09,9.385957874536912e-05,8.07824616549329e-06,4.4229465273896484e-07,6.88308195411713e-07,1.927069529342253e-08,0.00010308769845430651
48.45,4.6668112926405526e-05,4.015722068251336e-06,3.4215318147450344e-07,7.313783720276629e-08,4.77975852742088e-09,9.333622585281105e-05,8.031444136502672e-06,4.3882702321659773e-07,6.843063629490069e-07,1.911903410968352e-08,0.00010250992240958901
48.5,4.640810169341581e-05,3.992476777631792e-06,3.4016563613651837e-07,7.25649658285019e-08,4.742176868951398e-09,9.281620338683161e-05,7.984953555263584e-06,4.353897949710114e-07,6.803312722730367e-07,1.8968707475805593e-08,0.00010193584671681505
48.550000000000004,4.614974376332879e-05,3.969386038740939e-06,3.3819136056205014e-07,7.199711221823614e-08,4.704925602423103e-09,9.229948752665759e-05,7.938772077481877e-06,4.319826733094168e-07,6.763827211241003e-07,1.8819702409692413e-08,0.00010136544470098268
48.6,4.5893027319955023e-05,3.9464486892552e-06,3.3623025447347523e-07,7.143422777776965e-08,4.668001516873701e-09,9.178605463991005e-05,7.8928973785104e-06,4.286053666666179e-07,6.724605089469505e-07,1.8672006067494803e-08,0.00010079868990010149
48.650000000000006,4.563794064048911e-05,3.923663576583955e-06,3.3428221843749474e-07,7.087626442815955e-08,4.631401435503002e-09,9.127588128097822e-05,7.84732715316791e-06,4.252575865689573e-07,6.685644368749895e-07,1.852560574201201e-08,0.00010023555606333209
48.7,4.53844720947047e-05,3.9010295577799615e-06,3.323471538573144e-07,7.03231745997863e-08,4.5951222152783006e-09,9.07689441894094e-05,7.802059115559923e-06,4.2193904759871784e-07,6.646943077146288e-07,1.8380488861113202e-08,9.967601714914377e-05
48.75,4.51326101441565e-05,3.878545499450623e-06,3.3042496296489966e-07,6.977491122649328e-08,4.5591607465444295e-09,9.0265220288313e-05,7.757090998901245e-06,4.1864946735895973e-07,6.608499259297993e-07,1.8236642986177718e-08,9.912004732348919e-05
48.800000000000004,4.488234334138994e-05,3.856210277670177e-06,3.285155488133115e-07,6.923142773979971e-08,4.523513952638895e-09,8.976468668277988e-05,7.712420555340354e-06,4.153885664387982e-07,6.57031097626623e-07,1.809405581055558e-08,9.856762095799621e-05
48.85,4.4633660329158294e-05,3.834022777892765e-06,3.2661881526911913e-07,6.869267806318534e-08,4.488178789511778e-09,8.926732065831659e-05,7.66804555578553e-06,4.12156068379112e-07,6.532376305382383e-07,1.795271515804711e-08,9.80187126281775e-05
48.900000000000006,4.438654983964665e-05,3.811981894866332e-06,3.2473466700488776e-07,6.815861660644525e-08,4.453152245350279e-09,8.87730996792933e-05,7.623963789732664e-06,4.0895169963867146e-07,6.494693340097755e-07,1.7812608981401115e-08,9.747329711165581e-05
48.95,4.414100069370364e-05,3.79008653254744e-06,3.228630094917441e-07,6.762919826011572e-08,4.418431340208002e-09,8.828200138740729e-05,7.58017306509488e-06,4.0577518956069435e-07,6.457260189834882e-07,1.7673725360832007e-08,9.693134938640717e-05
49.0,4.3897001800079756e-05,3.768335604016881e-06,3.21003748992013e-07,6.710437838996784e-08,4.384013125638613e-09,8.779400360015951e-05,7.536671208033762e-06,4.0262627033980703e-07,6.42007497984026e-07,1.753605250255445e-08,9.639284462901966e-05
49.050000000000004,4.365454215467306e-05,3.7467280313961617e-06,3.191567925519323e-07,6.658411283156973e-08,4.349894684334415e-09,8.730908430934613e-05,7.4934560627923235e-06,3.995046769894184e-07,6.383135851038646e-07,1.739957873733766e-08,9.585775821296907e-05
49.1,4.341361083978194e-05,3.725262745764825e-06,3.1732204799443706e-07,6.606835788491618e-08,4.316073129769152e-09,8.682722167956388e-05,7.45052549152965e-06,3.964101473094971e-07,6.346440959888741e-07,1.726429251907661e-08,9.532606570691097e-05
49.150000000000006,4.317419702336433e-05,3.703938687078556e-06,3.154994239120173e-07,6.555707030912365e-08,4.282545605845215e-09,8.634839404672866e-05,7.407877374157112e-06,3.9334242185474195e-07,6.309988478240347e-07,1.713018242338086e-08,9.479774287298792e-05
49.2,4.29362899583044e-05,3.6827548040881555e-06,3.136888296596512e-07,6.505020731719164e-08,4.249309286545414e-09,8.58725799166088e-05,7.365509608176311e-06,3.903012439031499e-07,6.273776593193024e-07,1.6997237146181657e-08,9.427276566515375e-05
49.25,4.2699878981685464e-05,3.6617100542592673e-06,3.118901753478012e-07,6.454772657082763e-08,4.216361375588813e-09,8.539975796337093e-05,7.323420108518535e-06,3.872863594249658e-07,6.237803506956025e-07,1.6865445502355252e-08,9.375111022751238e-05
49.300000000000004,4.246495351406995e-05,3.6408034036929395e-06,3.101033718354861e-07,6.404958617533642e-08,4.1836991060908796e-09,8.49299070281399e-05,7.281606807385879e-06,3.842975170520185e-07,6.202067436709722e-07,1.6734796424363518e-08,9.323275289267312e-05
49.35,4.223150305878603e-05,3.6200338270469663e-06,3.0832833072342123e-07,6.355574467457202e-08,4.1513197402279385e-09,8.446300611757206e-05,7.240067654093933e-06,3.8133446804743215e-07,6.166566614468425e-07,1.6605278960911754e-08,9.271767018012118e-05
49.400000000000006,4.1999517201220445e-05,3.599400307457985e-06,3.0656496434722545e-07,6.30661610459509e-08,4.119220568905719e-09,8.399903440244089e-05,7.19880061491597e-06,3.7839696627570537e-07,6.131299286944509e-07,1.6476882275622875e-08,9.220583879460263e-05
49.45,4.176898560811843e-05,3.5789018364643875e-06,3.0481318577069813e-07,6.258079469552765e-08,4.087398911431882e-09,8.353797121623687e-05,7.157803672928775e-06,3.754847681731659e-07,6.096263715413963e-07,1.6349595645727528e-08,9.169723562452591e-05
49.5,4.153989802688954e-05,3.558537413929952e-06,3.0307290877916077e-07,6.209960545312981e-08,4.0558521151926154e-09,8.307979605377908e-05,7.117074827859904e-06,3.7259763271877885e-07,6.061458175583215e-07,1.6223408460770462e-08,9.119183774037684e-05
49.550000000000004,4.1312244284920214e-05,3.5383060479682566e-06,3.0134404787286606e-07,6.162255356755292e-08,4.024577555333187e-09,8.262448856984043e-05,7.076612095936513e-06,3.697353214053175e-07,6.026880957457321e-07,1.609831022133275e-08,9.068962239314933e-05
49.6,4.108601428889264e-05,3.518206754867842e-06,2.9962651826047424e-07,6.114959970181442e-08,3.993572634442541e-09,8.217202857778528e-05,7.036413509735684e-06,3.6689759821088654e-07,5.992530365209485e-07,1.5974290537770165e-08,9.019056701279056e-05
49.650000000000006,4.08611980241096e-05,3.4982385590180846e-06,2.979202358525907e-07,6.06807049284649e-08,3.962834782241638e-09,8.17223960482192e-05,6.996477118036169e-06,3.6408422957078946e-07,5.958404717051814e-07,1.5851339128966553e-08,8.96946492066603e-05
49.7,4.0637785553825985e-05,3.478400492835842e-06,2.962251172553716e-07,6.021583072495737e-08,3.932361455275633e-09,8.127557110765197e-05,6.956800985671684e-06,3.6129498434974425e-07,5.924502345107432e-07,1.5729445821102533e-08,8.920184675800527e-05
49.75,4.0415767018585946e-05,3.458691596692782e-06,2.9454107976418946e-07,5.97549389690723e-08,3.902150136609831e-09,8.083153403717189e-05,6.917383193385564e-06,3.585296338144338e-07,5.890821595283789e-07,1.5608600546439324e-08,8.871213762444672e-05
49.800000000000004,4.0195132635566495e-05,3.439110918843452e-06,2.9286804135736367e-07,5.92979919343992e-08,3.872198335529333e-09,8.039026527113299e-05,6.878221837686904e-06,3.557879516063952e-07,5.857360827147273e-07,1.5488793342117333e-08,8.822549993648312e-05
49.85,3.9975872697927076e-05,3.4196575153540604e-06,2.912059206899538e-07,5.8844952285872845e-08,3.8425035872424826e-09,7.995174539585415e-05,6.839315030708121e-06,3.5306971371523704e-07,5.824118413799076e-07,1.537001434896993e-08,8.77419119960064e-05
49.900000000000006,3.975797757416484e-05,3.4003304500319285e-06,2.8955463708761146e-07,5.839578307536332e-08,3.8130634525877364e-09,7.951595514832968e-05,6.800660900063857e-06,3.5037469845217994e-07,5.791092741752229e-07,1.5252253810350946e-08,8.726135227483128e-05
