Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(3),J_total_As
75.85000000000001,9.937037147120532e-05,1.199027060035755e-05,1.8708097338189568e-06,4.878579030909927e-07,7.646650075445372e-08,2.864070135411941e-10,1.4251847463247866e-07,4.111932103998305e-09,0.00019874074294241065,2.39805412007151e-05,2.927147418545956e-06,3.7416194676379135e-06,4.587990045267223e-07,2.850369492649573e-07,2.864070135411941e-09,1.2335796311994915e-08,0.0002301490868495487
75.9,9.904126236737686e-05,1.1947698824096962e-05,1.8641042384583024e-06,4.854586844009023e-07,7.608741833049196e-08,2.845955221719021e-10,1.4200693092108305e-07,4.092079879042826e-09,0.00019808252473475373,2.3895397648193925e-05,2.9127521064054137e-06,3.728208476916605e-06,4.5652450998295173e-07,2.840138618421661e-07,2.845955221719021e-09,1.2276239637128479e-08,0.00022937454353295363
75.95,9.871339073331353e-05,1.1905300459606814e-05,1.857426358395551e-06,4.830726505385397e-07,7.571043720425706e-08,2.8279658573092195e-10,1.4149749710537224e-07,4.072334735740048e-09,0.00019742678146662706,2.3810600919213628e-05,2.8984359032312383e-06,3.714852716791102e-06,4.542626232255424e-07,2.829949942107445e-07,2.8279658573092194e-09,1.2217004207220144e-08,0.00022860297359336384
76.0,9.838675140436225e-05,1.186307471383874e-05,1.8507759657497411e-06,4.806997215272997e-07,7.533554451152601e-08,2.810101096528274e-10,1.4099016339881843e-07,4.05269603630316e-09,0.0001967735028087245,2.372614942767748e-05,2.884198329163798e-06,3.7015519314994823e-06,4.5201326706915603e-07,2.8198032679763685e-07,2.810101096528274e-09,1.2158088108909482e-08,0.0002278343642801375
76.05,9.80613392393525e-05,1.182102079774639e-05,1.8441529332944322e-06,4.783398179207222e-07,7.496272747419153e-08,2.792360001409424e-10,1.404849200650725e-07,4.0331631471008704e-09,0.000196122678478705,2.364204159549278e-05,2.870038907524333e-06,3.6883058665888643e-06,4.497763648451492e-07,2.80969840130145e-07,2.792360001409424e-09,1.2099489441302612e-08,0.00022706870290272902
76.10000000000001,9.773714912048188e-05,1.1779137926263457e-05,1.8375571344540526e-06,4.759928607986837e-07,7.459197339963695e-08,2.7747416416063126e-10,1.3998175741768326e-07,4.013735438628064e-09,0.00019547429824096375,2.3558275852526914e-05,2.8559571647921023e-06,3.675114268908105e-06,4.475518403978217e-07,2.799635148353665e-07,2.7747416416063125e-09,1.204120631588419e-08,0.00022630597683038155
76.15,9.741417595320261e-05,1.1737425318281899e-05,1.8309884433002808e-06,4.736587717636201e-07,7.422326968011636e-08,2.757245094326637e-10,1.3948066581982011e-07,3.994412285476683e-09,0.00019482835190640522,2.3474850636563797e-05,2.8419526305817206e-06,3.6619768866005617e-06,4.4533961808069813e-07,2.7896133163964023e-07,2.757245094326637e-09,1.1983236856430048e-08,0.00022554617349182236
76.2,9.709241466610785e-05,1.169588219663015e-05,1.8244467345484275e-06,4.7133747293677347e-07,7.385660379213832e-08,2.7398694442662915e-10,1.3898163568399471e-07,3.975193066306703e-09,0.0001941848293322157,2.33917643932603e-05,2.8280248376206406e-06,3.648893469096855e-06,4.431396227528299e-07,2.7796327136798943e-07,2.7398694442662915e-09,1.192557919892011e-08,0.0002247892803749575
76.25,9.677186021081939e-05,1.165450778805161e-05,1.8179318835538604e-06,4.690288869544732e-07,7.349196329585599e-08,2.722613783544188e-10,1.384846574717866e-07,3.956077163817405e-09,0.00019354372042163878,2.330901557610322e-05,2.814173321726839e-06,3.6358637671077207e-06,4.409517797751359e-07,2.769693149435732e-07,2.7226137835441884e-09,1.1868231491452215e-08,0.00022403528502657025
76.3,9.645250756187552e-05,1.1613301323183165e-05,1.8114437663084393e-06,4.667329369644432e-07,7.31293358344609e-08,2.7054772116375036e-10,1.3798972169356884e-07,3.937063964718899e-09,0.00019290501512375104,2.322660264636633e-05,2.800397621786659e-06,3.6228875326168786e-06,4.387760150067654e-07,2.759794433871377e-07,2.7054772116375035e-09,1.1811191894156696e-08,0.00022328417505202062
76.35000000000001,9.613435171661946e-05,1.1572262036533873e-05,1.8049822594369737e-06,4.644495466221377e-07,7.276870913358194e-08,2.6884588353177983e-10,1.3749681890823622e-07,3.918152859703805e-09,0.00019226870343323893,2.3144524073067746e-05,2.786697279732826e-06,3.6099645188739474e-06,4.3661225480149165e-07,2.7499363781647244e-07,2.688458835317798e-09,1.1754458579111416e-08,0.00022253593811494586
76.4,9.581738769508882e-05,1.1531389166463796e-05,1.7985472401937082e-06,4.62178640087108e-07,7.241007100068922e-08,2.6715577685878473e-10,1.3700593972293586e-07,3.8993432434192274e-09,0.00019163477539017765,2.3062778332927593e-05,2.773071840522648e-06,3.5970944803874165e-06,4.3446042600413537e-07,2.7401187944587173e-07,2.671557768587847e-09,1.1698029730257682e-08,0.00022179056193696414
76.45,9.550161053990472e-05,1.1490681955162869e-05,1.792138586458815e-06,4.5992014201939117e-07,7.205340932450165e-08,2.654773132618467e-10,1.3651707479279714e-07,3.880634514438874e-09,0.00019100322107980944,2.2981363910325738e-05,2.759520852116347e-06,3.58427717291763e-06,4.323204559470099e-07,2.730341495855943e-07,2.654773132618467e-09,1.1641903543316621e-08,0.00022104803429737768
76.5,9.518701531616236e-05,1.1450139648629993e-05,1.7857561767349215e-06,4.5767397757593314e-07,7.169871207440026e-08,2.638104055686498e-10,1.3603021482066504e-07,3.862026075235363e-09,0.0001903740306323247,2.2900279297259986e-05,2.746043865455599e-06,3.571512353469843e-06,4.3019227244640156e-07,2.720604296413301e-07,2.638104055686498e-09,1.158607822570609e-08,0.00022030834303287926
76.55,9.487359711132174e-05,1.1409761496652197e-05,1.7793998901436516e-06,4.554400724070355e-07,7.134596729984544e-08,2.621549673113154e-10,1.355453505568348e-07,3.8435173321528185e-09,0.00018974719422264349,2.2819522993304395e-05,2.732640434442213e-06,3.558799780287303e-06,4.2807580379907265e-07,2.710907011136696e-07,2.621549673113154e-09,1.1530551996458455e-08,0.00021957147603725972
76.60000000000001,9.456135103509896e-05,1.1369546752783924e-05,1.7730696064221882e-06,4.532183526528303e-07,7.099516312979872e-08,2.605109127202798e-10,1.3506247279878766e-07,3.8251076953795675e-09,0.0001891227020701979,2.273909350556785e-05,2.7193101159169817e-06,3.5461392128443764e-06,4.2597097877879237e-07,2.701249455975753e-07,2.605109127202798e-09,1.1475323086138703e-08,0.0002188374212611168
76.65,9.425027221935838e-05,1.1329494674326496e-05,1.7667652059198637e-06,4.5100874493978486e-07,7.064628777214964e-08,2.588781567182547e-10,1.345815723909289e-07,3.806796578921204e-09,0.00018850054443871677,2.2658989348652992e-05,2.706052469638709e-06,3.5335304118397273e-06,4.2387772663289785e-07,2.691631447818578e-07,2.588781567182547e-09,1.1420389736763611e-08,0.00021810616671156692
76.7,9.394035581800468e-05,1.1289604522307582e-05,1.760486569594753e-06,4.4881117637722685e-07,7.029932951314598e-08,2.572566149142361e-10,1.3410264022432658e-07,3.7885834005738495e-09,0.00018788071163600937,2.2579209044615164e-05,2.692867058263361e-06,3.520973139189506e-06,4.2179597707887586e-07,2.6820528044865315e-07,2.5725661491423613e-09,1.1365750201721549e-08,0.00021737770045195584
76.75,9.36315970068761e-05,1.1249875561460904e-05,1.7542335790103063e-06,4.466255745539029e-07,6.995427671682952e-08,2.556462035975548e-10,1.3362566723645255e-07,3.770467581897319e-09,0.0001872631940137522,2.2499751122921808e-05,2.6797534473234175e-06,3.5084671580206126e-06,4.197256603009771e-07,2.672513344729051e-07,2.556462035975548e-09,1.1311402745691957e-08,0.0002166520106015736
76.80000000000001,9.332399098363791e-05,1.121030706020599e-05,1.7480061163319899e-06,4.4445186753455946e-07,6.961111782447539e-08,2.5404683973198914e-10,1.331506444109245e-07,3.752448548188796e-09,0.00018664798196727582,2.242061412041198e-05,2.6667112052073567e-06,3.4960122326639798e-06,4.1766670694685236e-07,2.66301288821849e-07,2.5404683973198913e-09,1.125734564456639e-08,0.0002159290853353697
76.85000000000001,9.301753296767681e-05,1.1170898290628117e-05,1.741804064323958e-06,4.4228998385655367e-07,6.926984135403656e-08,2.5245844094994125e-10,1.326775627772506e-07,3.734525728456683e-09,0.00018603506593535362,2.2341796581256234e-05,2.653739903139322e-06,3.483608128647916e-06,4.1561904812421934e-07,2.653551255545012e-07,2.5245844094994126e-09,1.120357718537005e-08,0.0002152089128836707
