Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(4),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_Np_relativistic
1.85,0.007266882630962982,0.02604107547627574,0.012584121175160803,0.015056502052548272,0.054589779703929725,0.03349579459406735,0.03747407477346064,0.024026478127885945,0.02487997301762261,0.08965295192327105,0.0703655659178438,0.07767859618813884,0.058286972805727956,0.060036287724481927,0.046501628821500635,0.04718160157541234,0.08743291350979608,0.12332937690936666,0.1262353976320503,0.12839693223075757,0.13079349203047325,0.12795228610519324,0.04591884867007159,0.040572321175668134,0.026781550322913177,0.010509936068680729,0.004567169000871774,5.640419800565725
1.9000000000000001,0.007266517414177914,0.026026858188169764,0.012584094683962894,0.015056447087277706,0.05442389146129571,0.03349318179318044,0.03746954726824124,0.02402644926432445,0.024879937574106285,0.08848698521238975,0.07026165810985764,0.07751015730464149,0.05827721042648854,0.06002452063398652,0.04650072663513768,0.047180591708617596,0.08323844098017599,0.12105624015727354,0.12303238450739153,0.12691602843712155,0.12908235417124275,0.12435144225358136,0.04591170906191216,0.0364630387799292,0.024803743757572726,0.009149279818948072,0.004348062798552403,5.562414246083046
1.9500000000000002,0.007266142486540446,0.02601227078427193,0.012584066039045449,0.015056387646098726,0.05425413389083304,0.03349036149923111,0.03746466307859379,0.024026416441832538,0.024879897275526433,0.08730684218907646,0.0701504373834871,0.07733031163794873,0.05826623204482548,0.06001129820596729,0.0464996660252672,0.047179405185433836,0.07919423925003703,0.11870917732455143,0.11976184808379102,0.12534257640254481,0.12727179178124648,0.1207588347145616,0.045891939637372633,0.03296253589452118,0.02327716951708196,0.00802175345279489,0.004204399307050912,5.486623764305462
2.0,0.007265757850278767,0.02599731396943406,0.012584035127706603,0.015056323495487689,0.05408054881041003,0.033487323583311385,0.03745940517226521,0.02402637924572083,0.024879851614538775,0.08611361203457635,0.07003166249152194,0.0771387394075993,0.0582539318841849,0.059996495684888816,0.0464984256297048,0.04717801833584549,0.07530527549188465,0.1162933094173353,0.11643348723576895,0.12367822606900343,0.12536457789728422,0.11718195500765609,0.04581956024091764,0.030012295114998762,0.02212727691366497,0.007094774767316158,0.004116793779088269,5.412592899960913
2.0500000000000003,0.007265363507678554,0.02598198846596261,0.012584001834517883,0.015056254396385367,0.05390317887861607,0.033484057747485446,0.037453756272600114,0.024026337231051527,0.0248798000469841,0.08490838398811865,0.06990509879684195,0.0769351362858404,0.0582401994660842,0.05997998304178363,0.04649698213607244,0.04717640535714134,0.07157555516138116,0.1138140729861815,0.11305719145309034,0.12192519869009563,0.1233641084929333,0.11362781564560476,0.045663890127708974,0.027554573467196062,0.021286488657451676,0.006339409199446655,0.0040688346152080584,5.33992740590983
2.1,0.007264959461082939,0.025966295013554044,0.012583966041339368,0.015056180104236776,0.05372206757718369,0.033480553531407664,0.03744769887217295,0.024026289921427975,0.02487974199043987,0.08369224578726692,0.0697705188860869,0.07671921435519567,0.058224919736049166,0.05996162515496788,0.04649531020930308,0.04717453823913199,0.06800814804283435,0.11127717716049257,0.1096429577017803,0.12008625815350185,0.12127435853453518,0.1101029422254306,0.04540260170493436,0.025533285786559147,0.02069427143570124,0.005730039761148118,0.004046868845208973,5.268292866707567
2.15,0.007264545712892476,0.02595023436922869,0.012583927627335198,0.015056100369031902,0.05353725919312349,0.03347680031903387,0.03744121524657504,0.024026236807786996,0.0248796768227779,0.08246628213328223,0.06962770316091031,0.07649070300783933,0.05820797321251952,0.059941282018202195,0.04649338242602378,0.047172386697387166,0.06460521922451325,0.10868855990904597,0.10620081009001746,0.11816467705539607,0.11909983298384419,0.10661337029907783,0.04502074754232533,0.023894706024073238,0.020297033873866714,0.0052440620949343215,0.0040397561924715,5.197412163844034
2.2,0.007264122265565112,0.02593380730726312,0.012583886468989417,0.015056014935347296,0.053348798800582777,0.033472787345420876,0.03743428746834422,0.02402617734719603,0.024879603880730686,0.08123157318435119,0.06947644040542449,0.07624934978456575,0.05818923615825767,0.059918808975528315,0.04649116921654058,0.04716991811526736,0.06136806447542656,0.10605434400185898,0.10274072310667881,0.11616419835666572,0.11684551383675798,0.10316464659256848,0.04450979047961479,0.02258800325612818,0.020047890649551797,0.004861602238214606,0.004038607770595527,5.127062071736844
2.25,0.007263689121616157,0.025917014619121034,0.012583842440122181,0.015055923542388565,0.05315673224243846,0.03346850370360933,0.037426897421024896,0.024026110961657073,0.02487952245846884,0.07998919307941249,0.06931652832854027,0.07599492115141414,0.058168580773668856,0.059894056981856646,0.04648863881509514,0.047167097495459255,0.058297149487753844,0.10338079312260785,0.09927254909396906,0.1140889934575787,0.1145168042598359,0.0997618341193534,0.04386666056417279,0.02156563036213171,0.01990632656551448,0.004565255219165039,0.004036521473025635,5.057069235709759
2.3000000000000003,0.007263246283618245,0.025899857113382628,0.012583795411906283,0.015055825924033709,0.05296110611163533,0.03346393835158482,0.03741902681334593,0.02402603703691941,0.02487943180619221,0.07874020849519212,0.06914777408000389,0.07572720321228044,0.058145875411319464,0.05986687288823287,0.04648575721900234,0.04716388742165223,0.05539215244786119,0.10067426855084559,0.09580595050835734,0.11194361751624433,0.11211947083899354,0.09640952072761334,0.04309285703318674,0.020783583669686904,0.019837789552156752,0.004339843000257433,0.004028322910386435,4.987305746615664
