Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(1),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Am_relativistic
27.85,0.005820349840546372,0.003835382410664984,0.008548168379759729,0.008574512082838007,0.003081809948979652,0.0013531160692149867,0.0015714235123704733,0.004634415247072092,0.004208338311098582,0.0010517804001563304,0.0005863849183241685,0.00042641663953786363,0.0013610635666755975,0.0012795893790048685,0.00033668118986515916,0.00030394999208039714,0.0002894844847325749,0.00017891701217591865,0.00011201058153765913,0.0002838480574507082,0.00026662651789431804,3.5503437224922915e-05,3.0593928685248376e-05,5.764238656844665e-05,3.094837182585863e-05,1.642190420807504e-05,3.74462697921575e-06,0.1568185309424739
27.900000000000002,0.005816603654394058,0.003812563901742047,0.008533502233593468,0.008553241748980183,0.0030693187245487124,0.001348000774192619,0.0015710418451498186,0.004605630694030217,0.0041805389101355695,0.0010492513800013483,0.0005806831954627646,0.0004246933049966156,0.001354463750881124,0.001272684505042603,0.0003327340966744492,0.0003003170694583066,0.00028896823527487116,0.00017699627011220315,0.000111346267235112,0.00028259746643778775,0.00026529138450217713,3.509072658965596e-05,3.0247160274508997e-05,5.754912085451911e-05,3.061062579755858e-05,1.6317327037067078e-05,3.7386961538377687e-06,0.15616372469685535
27.950000000000003,0.0058128543417698166,0.0037898664180541723,0.008518829457843177,0.008531984971747482,0.0030568108662833884,0.0013429896239030902,0.0015706857039863604,0.004577007658695824,0.004152907749130933,0.001046693709967398,0.0005750638271579618,0.00042301547496583896,0.0013478757339664747,0.001265799092937428,0.00032883543058433585,0.00029672951155704675,0.0002884425334009681,0.00017510122826222422,0.0001106976430939286,0.000281347110673978,0.00026395831435481985,3.468298682703127e-05,2.9904659823991377e-05,5.745391382571489e-05,3.0277318166364916e-05,1.6215169497436123e-05,3.732593312395488e-06,0.15551239172569023
28.0,0.005809101917403505,0.0037672896195410396,0.008504150244864133,0.00851074202726569,0.0030442872720517194,0.001338081087257568,0.0015703540473231382,0.004548545530598941,0.004125444084575968,0.0010441077216894299,0.000569525982284304,0.00042138229304669524,0.0013412998283356516,0.0012589333882948855,0.00032498457861086045,0.0002931867343151926,0.00028790743947065497,0.0001732316608014843,0.00011006444085225591,0.0002800970802782392,0.00026262738432567836,3.428017868135914e-05,2.956637375632383e-05,5.735677486272957e-05,2.99484112014311e-05,1.611539002728847e-05,3.726315554988908e-06,0.154864509380088
28.05,0.005805346396017596,0.0037448331645094863,0.008489464786518247,0.008489513189942665,0.0030317488333483616,0.0013332736478969965,0.0015700458513213133,0.004520243697032564,0.004098147171905855,0.001041493750830158,0.0005640688325050665,0.0004197929131128081,0.0013347363406236235,0.0012520876308505196,0.00032118093565187386,0.00028968816131426953,0.0002873630164997525,0.00017138734183332665,0.00010944639513585686,0.00027884746407439207,0.0002612986698791325,3.388226079428926e-05,2.923225868952499e-05,5.72577139826423e-05,2.962386716989236e-05,1.6017947705761506e-05,3.7198737687140952e-06,0.15422005520925008
28.1,0.005801587792327071,0.0037224967096635936,0.008474773274168422,0.00846829873246578,0.0030191964352181302,0.001328565804131613,0.0015697601096713784,0.004492101543138503,0.004071016265583089,0.0010388521368697163,0.0005586915523820184,0.0004182464992628964,0.001328185571743748,0.0012452620545350026,0.0003174239043860553,0.0002862332236788722,0.00028680933006405504,0.00016956804544264624,0.00010884324345372002,0.00027759834959579995,0.00025997224508165465,3.34891842043495e-05,2.8902271952207815e-05,5.7156741818081964e-05,2.930364837794136e-05,1.5922802458446935e-05,3.713289979534147e-06,0.15357900691217083
28.150000000000002,0.005797826121039319,0.003700279910134582,0.008460075898672977,0.008447098925799488,0.003006630956182617,0.0013239560688793049,0.0015694958334050914,0.0044641184519920865,0.004044050619179611,0.0010361832228997715,0.0005533933194818377,0.00041674222577185174,0.0013216478169356366,0.0012384568875392534,0.00031371289517317827,0.0002828213599780496,0.0002862464482051564,0.0001677735457482315,0.00010825472619292458,0.00027634982309036806,0.0002586481826131172,3.310088919166141e-05,2.8576355730078033e-05,5.7053869596997286e-05,2.898771719081169e-05,1.582991514585906e-05,3.706591425037155e-06,0.152941342289982
28.200000000000003,0.0057940613968540345,0.0036781824195105343,0.008445372850380137,0.008425914039183035,0.0029940532681698466,0.0013194429696028473,0.001569252050708156,0.004436293804685745,0.0040172494854576885,0.0010334873554220397,0.0005481733144792419,0.0004152792770403212,0.0013151233658134389,0.0012316723523795323,0.00031004732595561404,0.0002794520161279447,0.0002856744413381402,0.00016600361695376048,0.00010768058661278485,0.0002751019695258499,0.00025732655377825404,3.271730578326835e-05,2.825444971630497e-05,5.6949109122765985e-05,2.867603602824564e-05,1.5739247509441287e-05,3.699803068951663e-06,0.1523070392450422
28.25,0.005790293634463112,0.003656203889865937,0.008430664319122603,0.008404744340128318,0.00298146423644691,0.0013150250482460517,0.0015690278067336729,0.004408626980411483,0.003990612116449539,0.0010307648841511511,0.0005430307212568874,0.00041385684754285354,0.001308612502414515,0.0012249086659624885,0.00030642662216105726,0.00027612464529567295,0.00028509338216111145,0.00016425803339747107,0.00010712057083829698,0.0002738548725954459,0.00025600742851826486,3.2338357215033494e-05,2.79365034837091e-05,5.6842472754375397e-05,2.8368567338693095e-05,1.5650761989097533e-05,3.692940783871732e-06,0.1516760757982784
28.3,0.005786522848550547,0.0036343439717910347,0.008415950494212166,0.008383590094417871,0.0029688647195555288,0.0013107008611688601,0.0015688221634163858,0.004381117356542227,0.0039641377635357055,0.0010280161618218052,0.0005379647270020918,0.00041247414177466413,0.0013021155052484641,0.0012181660396501353,0.0003028502166064586,0.00027283870780442414,0.00028450334556654735,0.0001625365696005259,0.00010657442785291045,0.00027260861472368095,0.00025469087542255125,3.196396493480546e-05,2.7622462484878527e-05,5.673397338647926e-05,2.8065273561406366e-05,1.5564421461745917e-05,3.686007151783224e-06,0.15104843009430757
