Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(1),J_5s1/2(2),J_total_Zr_relativistic
1.1,0.04172740074856297,0.14825692968862028,0.07615896356596834,0.15651310025293916,0.31166624858003505,0.22514130179941666,0.4597252223013592,0.32483385707903567,0.49083346735445976,0.27266713251862845,0.4395777170016864,0.8747542955093603,0.39058440233256464,0.08318175421822234,4.295621792950859
1.1500000000000001,0.04171853148794868,0.14786512046348943,0.07615645343378048,0.15650745754088172,0.3059491617164142,0.22469967012791642,0.4587503166954702,0.32477122413084886,0.4907352378307188,0.24483268073905654,0.41622399174538527,0.8256094748181296,0.3630314350359538,0.07677274556948196,4.153623501335476
1.2000000000000002,0.04170927080248365,0.147457126816784,0.07615360121885503,0.15650104652270017,0.30009883363142087,0.22420567880884815,0.45766065326003086,0.324695483848276,0.4906164921846149,0.21942713318391555,0.3927173631547745,0.7763820527991587,0.3368376960571723,0.07011411759247402,4.014576549881509
1.25,0.04169961905158722,0.14703310452056836,0.07615037818341422,0.15649380280838482,0.2941281859701792,0.22365651258104272,0.4564502353257521,0.3246048052306228,0.4904743762475179,0.1964240159371556,0.36925608772423085,0.7274889511868996,0.31202726322728913,0.06342972841550305,3.879317066410148
1.3,0.04168957660972511,0.14659321502259487,0.07614675464243963,0.1564856599121757,0.28805016212724555,0.22304949011043798,0.45511338507488724,0.32449724364449467,0.49030586148933036,0.17576411948389045,0.3460239748013308,0.6793108721755355,0.288603071030498,0.05689799606842472,3.748531382193011
1.35,0.04167914386637858,0.1461376253330133,0.07614269999602016,0.1564765493279666,0.2818776811547624,0.2223820817468737,0.453644782310152,0.32437075001530713,0.4901077597965443,0.15736087410313646,0.32318780938118985,0.6321876274962572,0.26655157367362303,0.050653445998935565,3.6227604042001604
1.4000000000000001,0.04166832122601242,0.14566650790760585,0.07613818276260671,0.15646640060678182,0.2756235930645303,0.22165192588774496,0.4520394998730821,0.32422318150678364,0.489876740554391,0.1411055984395557,0.3008956264182872,0.586415350889879,0.24584652710369456,0.04479131642899852,3.502408772669954
1.4500000000000002,0.04165710910804164,0.1451800405276749,0.07613317061312827,0.1564551414362167,0.26930063573014706,0.2208568438586072,0.45029303552006666,0.3240523135347846,0.48960934978398185,0.12687249463467268,0.2792757512571829,0.5422453596051143,0.22645204458083967,0.039373406480708806,3.3877566966711674
1.5,0.04164550794679706,0.14467840617671393,0.07612763040592338,0.15644269772172992,0.26292139357728467,0.21999485323769236,0.4484013401052435,0.32385585294340075,0.48930203105715,0.11452329373293071,0.25843650565419884,0.49988440820099206,0.20832506023866043,0.03443412235142797,3.2789731033501455
1.55,0.041633518191489596,0.14416179291399492,0.07612152822244002,0.15642899366967464,0.2564982582312853,0.21906417956820093,0.44636084196021286,0.32363145215710387,0.48895114789040106,0.10391148331893468,0.23846647222859835,0.4594960739395733,0.19141731337559215,0.02998615944778761,3.176129215115289
1.6,0.041621140306173386,0.14363039374520778,0.07611482940365594,0.15641395187195262,0.2500433912717668,0.2180632664189782,0.4441684674005993,0.32337672411289825,0.48855300730495765,0.09488607467444041,0.2194352102168209,0.4212030227514941,0.175676945942081,0.026025552455710352,3.0792119778767364
1.6500000000000001,0.04160837476970773,0.1430844064902902,0.07610749858717122,0.15639749339217476,0.243568689224051,0.21699078377056455,0.441821657328417,0.32308925777077346,0.4881038842321686,0.08729488868496321,0.20139432036751678,0.3850899239302721,0.1610497878886897,0.02253599848184935,2.9881369649186094
