volume,volume_name,E0_keV,Eprime_keV,E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_keV_c,Q_au,Q_absolute_au
2,Volume 2,662.0,586.5250215908894,75.47497840911058,30.0,331.2637439499206,-49.20586800850735,-13.201194406931236,13.201194406931236
3,Volume 3,662.0,417.37347988730784,244.62652011269216,30.0,365.89182753330607,158.6964580247938,42.57587314005918,42.57587314005918
3,Volume 3,662.0,229.4667937778153,432.53320622218473,30.0,477.27176445236546,224.46393813118922,60.22029901195725,60.22029901195725
2,Volume 2,662.0,375.5179142687342,286.4820857312658,30.0,385.59336265555646,186.85805339193334,50.13120567045306,50.13120567045306
3,Volume 3,662.0,240.27488995463844,421.7251100453616,30.0,469.5450955622949,224.18556565651926,60.14561586329251,60.14561586329251
3,Volume 3,662.0,516.751069140033,145.248930859967,30.0,335.79722881156357,53.13419141017619,14.255104499722645,14.255104499722645
2,Volume 2,662.0,221.16662034625764,440.8333796537423,30.0,483.2857610970345,224.47028713869148,60.2220023551909,60.2220023551909
2,Volume 2,662.0,283.75479866275924,378.24520133724076,30.0,439.77554469529554,219.61665261361057,58.91984520322869,58.91984520322869
2,Volume 2,662.0,278.0083028677606,383.9916971322394,30.0,443.58019999440285,220.56453449065498,59.17414765617001,59.17414765617001
3,Volume 3,662.0,484.27593665467185,177.72406334532815,30.0,342.76501256246786,93.57159650342984,25.10385217054066,25.10385217054066
3,Volume 3,662.0,501.1839607131641,160.81603928683592,30.0,338.76687402760615,73.19339790092515,19.63668794191232,19.63668794191232
3,Volume 3,662.0,589.5647245022228,72.43527549777718,30.0,331.39893560299055,-54.008023433953,-14.489540490626927,14.489540490626927
3,Volume 3,662.0,399.8077438532829,262.1922561467171,30.0,373.71596499079567,171.65023080577137,46.05117557259291,46.05117557259291
3,Volume 3,662.0,607.2821184057526,54.71788159424739,30.0,332.738914447442,-82.33709346761162,-22.089803955489277,22.089803955489277
2,Volume 2,662.0,401.21620941396384,260.78379058603616,30.0,373.0641576067589,170.6732819161896,45.7890748773105,45.7890748773105
3,Volume 3,662.0,335.8541154941283,326.1458845058717,30.0,407.3643767098833,205.4369111808352,55.11563381808005,55.11563381808005
3,Volume 3,662.0,263.1499468030507,398.8500531969493,30.0,453.60723644054667,222.51103289278126,59.69636390515087,59.69636390515087
3,Volume 3,662.0,485.7897559786864,176.2102440213136,30.0,342.3749203658048,91.80912437617052,24.631007403637543,24.631007403637543
2,Volume 2,662.0,444.33029633953396,217.66970366046604,30.0,355.2414092846104,135.48811562302626,36.34942389105115,36.34942389105115
2,Volume 2,662.0,480.5739143772915,181.4260856227085,30.0,343.7451995607602,97.82928950176213,26.246127172910228,26.246127172910228
3,Volume 3,662.0,188.47457249353062,473.5254275064694,30.0,507.60062645730017,222.89628808289444,59.79972207901916,59.79972207901916
