Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(5),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Ho_relativistic
2.0,0.011512248020593693,0.039925876638995814,0.020150399553279588,0.021847432953463978,0.07800428817381853,0.05352532165534767,0.05639703943627274,0.03696901137831943,0.03763539627515012,0.09015696221001339,0.10805013897300875,0.1113744435111545,0.09789234280074122,0.09942533146922565,0.0972511625905363,0.09774501945438929,0.03331998349441325,0.040822711977427775,0.03157718932172071,0.0027680760579350144,4.275298290397775
2.0500000000000003,0.011510838104737553,0.03987003633120207,0.020150090863902844,0.021846999963937554,0.0773745664182365,0.05349379069628641,0.05635643650647741,0.036968168621768466,0.037634460633200445,0.08687454481308646,0.10685888616847425,0.10991307648803153,0.09749295185885445,0.09898572170638187,0.0961827400000678,0.09660314674794453,0.03314504028745114,0.03666571043558995,0.028277366039488053,0.002583530075856609,4.220307334081501
2.1,0.011509393628865695,0.03981290686967369,0.02014975917518277,0.021846534782528456,0.07673490516369876,0.05346009911982063,0.05631308291863604,0.03696722402227263,0.03763341215250606,0.08365426739291293,0.1056203945235585,0.10839969411134,0.09706287093847846,0.09851308951164618,0.09509736511799653,0.09544683737721328,0.0330596508427553,0.032971654459693,0.0254185003521624,0.002447525427841723,4.167570129288636
2.15,0.011507914611409362,0.03975449464708745,0.020149403404269187,0.021846035902409997,0.07608566242805354,0.05342416728787894,0.05626688106340845,0.03696616852545587,0.03763224083989876,0.08050035916166551,0.10433593853010133,0.10683637829834666,0.0966014130403424,0.09800679203093082,0.09399655422661685,0.09427760185128486,0.03302885400881209,0.029706823952641116,0.022958551416867975,0.00235038721003282,4.116791255312331
2.2,0.01150640107123664,0.03969480619065177,0.020149022447209935,0.021845501788256637,0.07542719907378978,0.05338591595309382,0.05621773419477599,0.03696499257608329,0.03763093615487929,0.07741668455976886,0.10300695197512694,0.10522539060347691,0.0961079987157214,0.09746630781562611,0.09288179958311646,0.09309692080075621,0.033023081585923965,0.026837594232826403,0.0208572309965935,0.0022837348040280303,4.067697044612456
2.25,0.011504853027651942,0.03963384816077083,0.020148615179289578,0.021844930876770793,0.07475987847771816,0.05334526638094225,0.05616554659353852,0.03696368611144273,0.037629487003041064,0.07440674334788036,0.10163501885222803,0.10356915729649487,0.09558215962819615,0.09689123985129532,0.0917545649539553,0.09190624095796332,0.03301775828705743,0.024330863206376722,0.01907628478561522,0.002240380489177111,4.020036467625984
2.3000000000000003,0.011503270500395488,0.039571627349683794,0.020148180455374042,0.021844321577218495,0.07408406620141467,0.05330214047045593,0.05611022372812743,0.0369622385557747,0.03762788173068457,0.07147367240145618,0.10022186362682106,0.10187025385882226,0.09502354114259912,0.0962813174918317,0.09061628165621839,0.09070697162544332,0.0329928785972662,0.022154400591156184,0.017579690646731552,0.002214223610020554,3.9735814690448077
2.35,0.011501653509642756,0.03950815068007965,0.020147717110261067,0.021843672271973685,0.07340012966284618,0.053256460873307584,0.05605167241245912,0.03696063881578099,0.037626108120654436,0.0686202491159949,0.0987693409532575,0.10013138904789301,0.09443190395718215,0.09563639732947267,0.08946834509346374,0.08950048162537069,0.0329325734977959,0.020277126635285202,0.016333785896167168,0.0022001441679736122,3.9281268534071123
2.4000000000000004,0.01150000207600393,0.039443425203688126,0.02014722395903633,0.02184298131707092,0.07270843780958987,0.05320815111108533,0.05598980096056292,0.03695887527723902,0.0376241533894269,0.06584889632522212,0.09727942494112475,0.09835538867451708,0.09380712480594217,0.09495646304258482,0.08831211177118245,0.08828809671228845,0.032824677696401516,0.01866932787935957,0.015307334824753164,0.0021938986414908623,3.8834898075069537
2.45,0.011498316220523337,0.039377458099846996,0.020146699797435105,0.02184224704276624,0.07200936079405106,0.05315713569057263,0.055924519337727734,0.036956935802745,0.03762200418547132,0.06316168862975173,0.09575419806652727,0.09654517923211993,0.09314919626764324,0.09424162427302996,0.08714889676711894,0.08707109742720763,0.03266030589557759,0.017302817388889672,0.014471546616273036,0.0021920200141128145,3.8395091368814365
