Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_total_Hg_relativistic
1.55,0.009121963657354596,0.032232674335740445,0.01582270271543318,0.01788024775078099,0.06751624987313772,0.04186150325825259,0.04528188045175991,0.029215041247626874,0.029973414452800096,0.11171701536277927,0.09071224210477168,0.09768044405546034,0.0752054565567033,0.0770475699114269,0.06488905350436103,0.06577255748284704,0.08966779374748439,0.15271415073920125,0.14764249984784633,0.1513726815030072,0.14559590165958836,0.026893542424658013,5.9648487791222005
1.6,0.009121395315784804,0.03221031503275502,0.015822656782855955,0.017880171520335213,0.06725191836045585,0.04185684353585898,0.045275027984718656,0.02921499251664989,0.02997335768888645,0.10973707234117648,0.09049689987877932,0.097371670479479,0.07517989223037651,0.07701775159921573,0.06487912105935337,0.06576141294899335,0.08307898544523679,0.14686784855367985,0.14044014773041544,0.14443154227367594,0.13827366865745175,0.02534161084674274,5.8296995687506445
1.6500000000000001,0.009120808985108527,0.032187263948305525,0.01582260637439469,0.017880087863877236,0.06698034294483758,0.041851742811948395,0.04526753095015883,0.029214935766529917,0.029973291593962257,0.1077339146132472,0.09026407507508213,0.09703871761675965,0.07515064489390239,0.07698367268738776,0.0648673868759425,0.06574826745784124,0.07695712831727786,0.14096971497437424,0.13329101906269317,0.13759880415379366,0.1311281697309359,0.023750846178877297,5.696745114669866
1.7000000000000002,0.00912020467033293,0.0321635227565443,0.01582255121130752,0.0178799963202806,0.06670162593001716,0.04184617573406152,0.04525935291821787,0.029214869996572874,0.029973215005909132,0.10571044609363899,0.09001317787752182,0.09668090152992895,0.07511736109301205,0.07694493151103628,0.06485362778408957,0.06573287772837934,0.07129726242652407,0.1350470646420556,0.12622905052382188,0.1308953091296258,0.12417559899033684,0.022148395948927643,5.566395482202969
1.75,0.009119582376618187,0.0321390931805576,0.015822491006911736,0.017879896415477145,0.06641587198168418,0.04184011648294445,0.045250456866337586,0.029214794119966,0.029973126663027108,0.1036695528490459,0.08974365089031655,0.09629759594806526,0.07507967357395322,0.07690111195074562,0.06483760812690317,0.06571498767626384,0.0660909294710242,0.12912636704811664,0.11928552301203273,0.12433915778956971,0.11742932346369697,0.0205577547028653,5.439006133518124
1.8,0.00911894210927739,0.032113976992135064,0.015822425466640408,0.01787978766256772,0.06612318806154609,0.04183353879828098,0.04524080522191394,0.029214706959811054,0.02997302519951343,0.10161409669654264,0.08945497150827397,0.09588823528225685,0.07503720248543438,0.07685178493841086,0.06481908071380552,0.06569432954530388,0.06132657246527406,0.12323298466233223,0.11248886173814861,0.11794586784872305,0.11090012675723603,0.018998733396815785,5.314879471125884
1.85,0.009118283873776448,0.03208817601153293,0.015822354288100582,0.017879669561935794,0.06582368336020437,0.041826416004805765,0.04523035990547022,0.029214607245183256,0.029972909140979363,0.09954690900624837,0.08914665411274611,0.09545231730452804,0.07498955669875777,0.07679651009262632,0.06479778791169663,0.06567062518072027,0.0569899363052843,0.11739095011263635,0.10586450469990817,0.11172854036381197,0.10459644189609026,0.01748759589738359,5.194267036757936
1.9000000000000001,0.009117607675733982,0.032061692107230935,0.015822277161132964,0.017879541601363968,0.06551746922890561,0.041818721038768804,0.04521908237429728,0.029214493607225896,0.029972776900016766,0.09747078472526166,0.08881825208622648,0.094989405482962,0.07493633523585153,0.07673483747018135,0.0647734628582945,0.06564358742529106,0.05306446314351914,0.11162278232709907,0.09943483348945283,0.10569802912605562,0.09852457197524538,0.016037297848444765,5.07737217297824
1.9500000000000002,0.009116913520921227,0.03203452719568304,0.01582219376787309,0.01787940325615332,0.06520465911022917,0.041810426474721205,0.04520693366650475,0.029214364575290423,0.029972626771826112,0.09538847663846167,0.0884693596396294,0.09449913096817388,0.07487712879402163,0.07666630941926036,0.0647458307804603,0.06561292161828039,0.04953167729511096,0.10594934070968931,0.0932191597930594,0.09986310987502105,0.09268889797953894,0.014657782807533718,4.96435300068536
2.0,0.00911620141526192,0.03200668324106198,0.015822103782813984,0.017879253989245576,0.06488536846777425,0.041801504552592225,0.045193874445426496,0.02921421857313178,0.029972456929917443,0.09330268988038647,0.0880996134474342,0.09398119422856889,0.07481152135550281,0.07659046251919652,0.0647146103993935,0.0655783271763322,0.0463715551972707,0.10038971573208649,0.08723376064066046,0.09423064686549198,0.08709207361684757,0.013356304691599624,4.855325599411464
2.0500000000000003,0.009115471364832192,0.03197816225499774,0.015822006872870272,0.017879093251348042,0.06455971471490915,0.041791927205027266,0.04517986504432382,0.02921405391516862,0.02997226542189562,0.09121607671098667,0.08770869408701472,0.09343536633403944,0.07473909186929875,0.07650682959107484,0.06467951540407947,0.06553949923526403,0.04356287673013218,0.09496115377852705,0.08149195540513404,0.08880575499855571,0.08173520731959527,0.012137755680235462,4.750367302372522
2.1,0.009114723375860457,0.03194896629630997,0.015821902697443747,0.017878920481061305,0.06422781714264658,0.04178166608495636,0.045164865511329734,0.029213868802817917,0.029972050165341067,0.0891312315666199,0.08729632727959954,0.092861489889898,0.07465941599236435,0.07641494176311961,0.06464025597426287,0.0654961303318748,0.04108355496333378,0.08967901367040006,0.07600421769134866,0.0835919562490446,0.07661803176711446,0.011004985895240627,4.649520037090307
2.15,0.009113957454727296,0.031919097470734396,0.015821790908490358,0.017878735105009612,0.06388979684670872,0.041770692593362746,0.04514883565457764,0.029213661320913242,0.029971808943796925,0.08705068639620679,0.08686228493141333,0.09225947962489546,0.07457206787689646,0.0763143305746266,0.06459654033446464,0.06544791210543581,0.03891094210568824,0.08455675201032536,0.07077831554908559,0.07859132951988938,0.07173906140129453,0.00995910623137046,4.552793656871709
2.2,0.009113173607965338,0.03188855793064332,0.015821671150588613,0.017878536537973933,0.06354577665384656,0.04175897790722089,0.04513173508745818,0.029213429434215975,0.02997153940287338,0.08497690629102282,0.08640638597462869,0.0916293226391255,0.0744766219903589,0.07620453010220726,0.0645480763211178,0.06539453699941192,0.03702211009567561,0.07960593430836399,0.06581947385287713,0.0738046533528699,0.06709573846858968,0.008999769254989791,4.460169219693433
2.25,0.009112371842259137,0.03185734987476021,0.015821543061009392,0.01787832418302765,0.06319588104747809,0.0417464930075735,0.04511352327394789,0.029213170984028314,0.029971239046479588,0.0829122854151578,0.08592849700880358,0.0909710783194521,0.07437265495486886,0.0760850790922895,0.0644945729457214,0.06533569994510735,0.035394104871431825,0.07483626877156413,0.06113055318081261,0.06923154114669793,0.06268456814306372,0.008125425535503975,4.371602179968609
2.3000000000000003,0.00911155216444505,0.03182547554786852,0.015821406269787116,0.01787809743167482,0.06284023609270986,0.04173320870771695,0.04509415957395397,0.029212883684916865,0.029970905233193415,0.08085914324224559,0.08542853274448635,0.09028487793181265,0.07425974739270759,0.07595552308415739,0.06443574193795863,0.0652711000102922,0.03400417389618575,0.0702556596378225,0.05671224006371791,0.06487056870052745,0.05850124328865215,0.007333554442568354,4.287025465955025
