E0_keV,Eprime_keV,E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_au,Q_absolute_au
662.0,648.0420045632865,13.957995436713531,30.0,339.3317687422407,-39.87962781813491,39.87962781813491
662.0,310.8919047322284,351.1080952677716,30.0,422.4022206432896,57.29252313276549,57.29252313276549
662.0,293.6886336616785,368.3113663383215,30.0,433.2994889229523,58.40785640934841,58.40785640934841
662.0,545.5235019178918,116.47649808210815,30.0,332.16415181530004,3.515848118681007,3.515848118681007
662.0,351.5256864139619,310.4743135860381,30.0,398.4328765902278,53.38187501512923,53.38187501512923
662.0,225.6653824845503,436.33461751544974,30.0,480.0176640228646,60.226925084896195,60.226925084896195
662.0,585.9431056791864,76.05689432081363,30.0,331.2410379809762,-12.955164835811642,12.955164835811642
662.0,256.3810941800092,405.6189058199908,30.0,458.2621320656769,59.8724582073031,59.8724582073031
662.0,406.6831674906543,255.31683250934572,30.0,370.5740238820745,44.744574663466445,44.744574663466445
662.0,374.18834246977974,287.81165753022026,30.0,386.27705536146254,50.331092001751536,50.331092001751536
662.0,250.7429440981822,411.2570559018178,30.0,462.17934025426683,59.99094601121156,59.99094601121156
662.0,410.5521994764323,251.4478005235677,30.0,368.85053429145466,43.979080673663155,43.979080673663155
662.0,207.11633404246354,454.88366595753644,30.0,493.61719459334233,60.121014466168866,60.121014466168866
662.0,206.13587302247151,455.8641269775285,30.0,494.34499189667116,60.10929336447522,60.10929336447522
662.0,505.37007566100067,156.62992433899933,30.0,337.90038860026584,18.221406948338952,18.221406948338952
662.0,621.4116123504749,40.58838764952509,30.0,334.4770229644456,-28.23143097590362,28.23143097590362
662.0,448.3145779356771,213.6854220643229,30.0,353.8143014005936,35.33587984747764,35.33587984747764
662.0,658.3225898477056,3.677410152294442,30.0,341.743092866399,-44.36703688004298,44.36703688004298
662.0,565.312676566925,96.687323433075,30.0,331.09656939737056,-4.379829269793862,4.379829269793862
662.0,443.0183858869925,218.98161411300748,30.0,355.71982868427267,36.677877241094606,36.677877241094606
662.0,566.2674122402274,95.73258775977263,30.0,331.074887880809,-4.769642159675898,4.769642159675898
662.0,505.26387952261587,156.73612047738413,30.0,337.92175656185424,18.257605607497258,18.257605607497258
662.0,643.3701060328729,18.629893967127146,30.0,338.3335398363107,-37.83601969755677,37.83601969755677
662.0,127.60261414094809,534.397385859052,30.0,555.1711623807391,57.491715154467286,57.491715154467286
662.0,596.5521189683582,65.44788103164183,30.0,331.8150856609746,-17.469875777507838,17.469875777507838
662.0,546.9612954816488,115.03870451835121,30.0,332.0469724395146,2.9549040607661463,2.9549040607661463
662.0,615.7957405116233,46.20425948837669,30.0,333.71565537675946,-25.784289695638016,25.784289695638016
662.0,315.03618015442294,346.96381984557706,30.0,419.8401542264243,56.97834891133851,56.97834891133851
662.0,410.34746840303,251.65253159697,30.0,368.94091835420875,44.020136241357115,44.020136241357115
