Q_signed_au,Q_absolute_au,Eprime_keV,E0_keV,E0_minus_Eprime_keV,Eprime_minus_E0_keV,theta_deg,q_gamma_keV_c
-15.00511807411817,15.00511807411817,410.34746840303,662.0,251.65253159697,-251.65253159697,58.222754312553874,566.1425044533827
-0.2423320854483855,0.2423320854483855,646.9847289777161,662.0,15.015271022283855,-15.015271022283855,10.861471754716723,124.78394374019359
-5.081001957556113,5.081001957556113,544.1836978801919,662.0,117.81630211980814,-117.81630211980814,33.604007415146654,366.45420583217657
-15.039873766158468,15.039873766158468,409.93159715301766,662.0,252.06840284698234,-252.06840284698234,58.30786179745275,566.7026009419104
-19.64302704931566,19.64302704931566,356.680119888055,662.0,305.319880111945,-305.319880111945,70.16890528806485,636.5975817332653
-19.99375531348877,19.99375531348877,352.7520618602115,662.0,309.2479381397885,-309.2479381397885,71.1376758816959,641.6268431589104
-16.994954079443133,16.994954079443133,386.8965544186066,662.0,275.1034455813934,-275.1034455813934,63.18327873023332,597.3583743695465
-42.819831771851646,42.819831771851646,236.338018604199,662.0,425.66198139580104,-425.66198139580104,131.7820179975452,838.2076939548695
-10.332860802361383,10.332860802361383,468.80878307557253,662.0,193.19121692442747,-193.19121692442747,47.007128857341336,484.52435319254386
-5.993933366151902,5.993933366151902,529.916900958104,662.0,132.08309904189605,-132.08309904189605,36.1377415348837,390.4287186314209
-5.852099196211013,5.852099196211013,532.0904926684716,662.0,129.9095073315284,-129.9095073315284,35.75325724631982,386.83809712231846
-3.191975238842882,3.191975238842882,576.4020716848125,662.0,85.59792831518746,-85.59792831518746,27.70295788958068,307.9089174845215
-13.556937373685367,13.556937373685367,248.7614137756161,662.0,413.2385862243839,-413.2385862243839,88.81471403344435,702.3625896395129
-35.616504939713046,35.616504939713046,189.71731459666879,662.0,472.28268540333124,-472.28268540333124,157.15723713257398,840.0730979133496
-43.4296886472526,43.4296886472526,295.0124223391052,662.0,366.9875776608948,-366.9875776608948,105.9416970091575,795.3346338388554
2.7143461413353562,2.7143461413353562,237.40781491074887,662.0,424.59218508925113,-424.59218508925113,76.42104834166966,648.6963639472525
-3.036415059075707,3.036415059075707,579.277898144858,662.0,82.722101855142,-82.722101855142,27.15553796125622,302.29911329196034
-27.09866530763297,27.09866530763297,276.12775786042124,662.0,385.87224213957876,-385.87224213957876,94.5131001076979,737.0603621949746
-6.944903829074412,6.944903829074412,515.6960937011636,662.0,146.3039062988364,-146.3039062988364,38.646846572969146,413.4333154127684
-10.006432766182932,10.006432766182932,473.123314853024,662.0,188.876685146976,-188.876685146976,46.22348337175516,478.23212215528326
-34.62375230254771,34.62375230254771,199.55385125646234,662.0,462.44614874353766,-462.44614874353766,142.07399106227138,828.5381079775518
-35.3359108308089,35.3359108308089,192.49203682203955,662.0,469.50796317796045,-469.50796317796045,151.97564235151896,836.8236626243506
-25.274976238878704,25.274976238878704,295.32190113876874,662.0,366.67809886123126,-366.67809886123126,87.61637637619228,713.5804410593173
-9.746201514616766,9.746201514616766,476.5895738655322,662.0,185.4104261344678,-185.4104261344678,45.5968530761259,473.14487996179565
-3.4452438402413157,3.4452438402413157,571.807778011183,662.0,90.19222198881698,-90.19222198881698,28.568427308770346,316.7189466400883
-29.71894307029269,29.71894307029269,249.0211337996152,662.0,412.9788662003848,-412.9788662003848,106.26788103915183,769.8149419769795
-8.424089267521817,8.424089267521817,494.6019760337824,662.0,167.39802396621758,-167.39802396621758,42.37496511146533,446.2090474134029
-28.622095521016675,28.622095521016675,260.304347709147,662.0,401.695652290853,-401.695652290853,101.02170378762565,756.2350679610829
