Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_total_Magnesium
4.55,0.04735585242402221,0.004626399546070453,0.00018037026406046776,0.017449356782505168,0.09471170484804442,0.009252799092140907,0.104696140695031,0.0003607405281209355,0.20902138516333726
4.6000000000000005,0.04692510417663219,0.00461550938306137,0.00017881883813939387,0.016793241955301064,0.09385020835326438,0.00923101876612274,0.1007594517318064,0.00035763767627878775,0.2041983165274723
4.65,0.04649512493897004,0.004607557915797405,0.00017757208324122297,0.016162859220489417,0.09299024987794008,0.00921511583159481,0.09697715532293649,0.00035514416648244594,0.19953766519895383
4.7,0.04606600083662516,0.004601990861174662,0.00017658512113949662,0.01555719839208923,0.09213200167325032,0.009203981722349324,0.09334319035253538,0.00035317024227899324,0.19503234399041403
4.75,0.045637815987320626,0.004598310522044257,0.00017581783346233508,0.01497528559292752,0.09127563197464125,0.009196621044088514,0.08985171355756512,0.00035163566692467016,0.19067560224321956
4.800000000000001,0.045210652498109676,0.004596071251755904,0.0001752344155787161,0.014416182410428045,0.09042130499621935,0.009192142503511807,0.08649709446256827,0.0003504688311574322,0.18646101079345684
4.8500000000000005,0.044784590464221154,0.00459487522519665,0.000174802970393933,0.013878985015341308,0.08956918092844231,0.0091897504503933,0.08327391009204785,0.000349605940787866,0.1823824474116713
4.9,0.04435970796950986,0.004594368500097148,0.00017449513855381132,0.013362823252127837,0.08871941593901972,0.009188737000194297,0.08017693951276703,0.00034899027710762263,0.17843408272908867
4.95,0.04393608108846736,0.004594237352706071,0.0001742857618572417,0.012866859708688073,0.08787216217693472,0.009188474705412142,0.07720115825212844,0.0003485715237144834,0.1746103666581898
5.0,0.043513783889747644,0.004594204872340457,0.0001741525769524287,0.012390288772209294,0.08702756777949529,0.009188409744680914,0.07434173263325576,0.0003483051539048574,0.1709060153113368
5.050000000000001,0.04309288844116151,0.004594027799788705,0.00017407593664554781,0.011932335677066848,0.08618577688232303,0.00918805559957741,0.07159401406240108,0.00034815187329109563,0.16731599841759262
5.1000000000000005,0.04267346481609306,0.004593493595059122,0.00017403855638280542,0.011492255549965273,0.08534692963218612,0.009186987190118245,0.06895353329979163,0.00034807711276561084,0.1638355272348616
5.15,0.04225558110129084,0.00459241772051758,0.0001740252836797258,0.011069332456827887,0.08451116220258167,0.00918483544103516,0.06641599474096732,0.0003480505673594516,0.1604600429519436
5.2,0.04183930340598629,0.004590641126032357,0.00017402288846630017,0.010662878455335404,0.08367860681197258,0.009181282252064714,0.06397727073201243,0.00034804577693260035,0.15718520557298232
5.25,0.041424695872291493,0.0045880279233334355,0.0001740198724948157,0.010272232656467985,0.08284939174458299,0.009176055846666871,0.061633395938807914,0.0003480397449896314,0.1540068832750474
5.300000000000001,0.04101182068682806,0.004584463237389787,0.0001740062961200456,0.00989676029791651,0.08202364137365611,0.009168926474779574,0.059380561787499064,0.0003480125922400912,0.15092114222817482
5.3500000000000005,0.04060073809353903,0.004579851223205085,0.00017397362091025974,0.009535851831791774,0.08120147618707806,0.00915970244641017,0.05721511099075065,0.0003479472418205195,0.14792423686605938
5.4,0.040191506407635476,0.004574113237024577,0.00017391456668336161,0.009188922028670384,0.08038301281527095,0.009148226474049155,0.055133532172022305,0.00034782913336672323,0.14501260059470913
5.45,0.0397841820306297,0.004567186151529187,0.0001738229816864451,0.00885540909966919,0.0795683640612594,0.009134372303058374,0.05313245459801513,0.0003476459633728902,0.1421828369257058
5.5,0.03937881946640689,0.0045590208051637954,0.00017369372475019228,0.008534773837931477,0.07875763893281378,0.009118041610327591,0.05120864302758886,0.00034738744950038456,0.1394317110202306
5.550000000000001,0.03897547133828744,0.004549580576302375,0.00017352255835272206,0.008226498780635009,0.07795094267657487,0.00909916115260475,0.049358992683810055,0.0003470451167054441,0.13675614162969513
5.6000000000000005,0.03857418840703244,0.004538840073490949,0.00017330605162160355,0.007930087392390282,0.07714837681406488,0.009077680146981898,0.047580524354341694,0.0003466121032432071,0.1341531934186317
5.65,0.03817501958974501,0.004526783933528769,0.00017304149238854953,0.007645063270684265,0.07635003917949001,0.009053567867057539,0.04587037962410559,0.00034608298477709906,0.13162006965543024
5.7,0.037778011979620836,0.004513405719647295,0.00017272680748952864,0.007370969373837736,0.07555602395924167,0.00902681143929459,0.04422581624302641,0.0003454536149790573,0.12915410525654172
5.75,0.03738321086650162,0.004498706912524931,0.00017236049057434046,0.0071073672717801,0.07476642173300324,0.008997413825049863,0.0426442036306806,0.00034472098114868093,0.12675276016988238
5.800000000000001,0.03699065975818564,0.0044826959873324156,0.0001719415367546933,0.006853836419802354,0.07398131951637128,0.008965391974664831,0.04112301851881412,0.0003438830735093866,0.1244136130833596
5.8500000000000005,0.03660040040245042,0.0044653875704391485,0.00017146938347906696,0.006609973455324354,0.07320080080490084,0.008930775140878297,0.039659840731946124,0.0003429387669581339,0.1221343554446834
5.9,0.036212472809742845,0.00444680166982464,0.0001709438570766391,0.006375391517604632,0.07242494561948569,0.00889360333964928,0.03825234910562779,0.0003418877141532782,0.11991278577891604
5.95,0.03582691527649325,0.004426962973631816,0.00017036512446177,0.006149719590228379,0.0716538305529865,0.008853925947263632,0.036898317541370275,0.00034073024892354,0.11774680429054396
6.0,0.0354437644090102,0.0044059002116705335,0.00016973364953540065,0.005932601866129636,0.0708875288180204,0.008811800423341067,0.035595611196777815,0.0003394672990708013,0.1156344077372101
6.050000000000001,0.03506305514791387,0.004383645575030849,0.00016905015386060938,0.0057236971348364266,0.07012611029582774,0.008767291150061697,0.03434218280901856,0.00033810030772121876,0.11357368456262922
6.1000000000000005,0.03468482079306668,0.004360234189296854,0.00016831558122684762,0.0055226781915707,0.06936964158613336,0.008720468378593709,0.0331360691494242,0.00033663116245369524,0.11156281027660496
6.15,0.03430909302896052,0.0043357036371639655,0.0001675310657513559,0.00532923126778758,0.06861818605792104,0.008671407274327931,0.031975387606725476,0.0003350621315027118,0.10960004307047716
6.2,0.033935901950521104,0.004310093526556085,0.00016669790319724182,0.005143055482699564,0.06787180390104221,0.00862018705311217,0.030858332896197382,0.00033339580639448363,0.10768371965674624
6.25,0.03356527608929065,0.004283445100614814,0.0001658175252159488,0.004963862315299655,0.0671305521785813,0.008566890201229627,0.02978317389179793,0.0003316350504318976,0.10581225132204075
6.300000000000001,0.03319724243995113,0.004255800886191606,0.00016489147624760108,0.004791375096372511,0.06639448487990227,0.008511601772383212,0.028748250578235067,0.00032978295249520216,0.10398412018301575
6.3500000000000005,0.03283182648715142,0.004227204377716265,0.00016392139283620031,0.004625328519963486,0.06566365297430284,0.00845440875543253,0.027751971119780915,0.00032784278567240063,0.10219787563518867
6.4,0.03246905223260239,0.004197699753542176,0.0001629089851380699,0.0044654681737612365,0.06493810446520477,0.008395399507084352,0.02679280904256742,0.0003258179702761398,0.1004521309851327
