Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(3),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_U_relativistic
1.8,0.007396840777612486,0.02647277888089485,0.012807056291443042,0.015244990664226661,0.05554316683293531,0.034056990856480694,0.03798895968208078,0.02436554786793768,0.025211555392975222,0.09174310612475152,0.07173303667625483,0.07904339868581738,0.059336701891573765,0.06109019473370582,0.047487837831722564,0.04817363964241873,0.09039899327979087,0.126794796075773,0.1298881909819009,0.13194681714179743,0.13438063675672068,0.1295040984835256,0.04696150991982614,0.0420230021732894,0.028034681451324685,0.011351787074922313,0.004840623972054878,5.6392155051444455
1.85,0.007396468211827603,0.026458265477962754,0.012807029793094435,0.015244936758359778,0.05537355863034213,0.03405437292547032,0.03798448725467824,0.024365519969755608,0.02521152128172656,0.09053927489053004,0.07162749339682509,0.07887394872593058,0.05932695039475488,0.06107847064263714,0.047486900101661456,0.04817259086190652,0.08597025222670275,0.12441698213505219,0.12655684663948807,0.13038877956828665,0.13258502163197605,0.12553995524239964,0.04695157212666294,0.03764137564202191,0.02584543212250633,0.009845083486013144,0.004589283466409702,5.560016621637316
1.9000000000000001,0.007396085467620518,0.026443363690395495,0.01280700107908611,0.015244878338357328,0.05519987377355013,0.03405154110715273,0.037979652197418425,0.024365488132530637,0.025211482360240536,0.08932009466512143,0.0715142959973546,0.07869265632186292,0.05931594749138469,0.06106525238016347,0.047485793004729396,0.04817135338079134,0.0817013428652996,0.12195919504193985,0.12315145708924129,0.1287308348417825,0.13068220151143495,0.121602305619819,0.046934552008751386,0.03392093642422745,0.024156850762471503,0.008601678991887008,0.004424514157839734,5.483344451693959
1.9500000000000002,0.007395692547328122,0.026428074260794552,0.012806970030245609,0.015244815162109793,0.05502215647381679,0.034048484655714695,0.0379744366693049,0.02436545193166465,0.025211438111195607,0.08808673539608217,0.07139318279152262,0.0784991745234934,0.05930358095667207,0.06105040784484936,0.04748449308521381,0.04816990123163,0.07759787238379699,0.11942704019791248,0.11968254053757087,0.12697483622529318,0.12867524960046992,0.11769874894073369,0.046865249592999474,0.030796989885421223,0.02288605137969484,0.007584018093450583,0.004324013326809384,5.408677479247167
2.0,0.0073952894533492125,0.02641239795066088,0.012806936524435857,0.015244746981600102,0.054840451860226534,0.03404519263920583,0.037968822561011244,0.02436541091067615,0.02521138797861686,0.08684036761265271,0.0712638991663584,0.0782931727675812,0.05928973339250706,0.06103379913352831,0.04748297469351373,0.04816820604997281,0.0736643684748403,0.1168264809380363,0.11616084171798735,0.12512328499336187,0.1265679440067245,0.11383631482210066,0.0467090356502216,0.02820565785060324,0.02195784267359644,0.006758836345172416,0.004268929421371825,5.335563503162769
2.0500000000000003,0.007394876188144464,0.026396335540324677,0.0128069004365717,0.01524467354294598,0.054654805960471654,0.03404165394680177,0.03796279150957782,0.024365364579881747,0.02521133136630314,0.08558216068082508,0.07112619827467992,0.07807433795490253,0.05927428236218396,0.06101528273499501,0.047481209903494484,0.04816623698926995,0.06990430850441871,0.11416378894673455,0.11259723696990442,0.12317929629145437,0.12436471613351162,0.11002146059986811,0.04644076670504409,0.026084915038453664,0.02130486236664804,0.006096764804882038,0.004243615792643226,5.263618317688694
2.1,0.007394452754236394,0.026379887828873468,0.012806861638636839,0.015244594586443276,0.054465265681307794,0.034037857296173826,0.03795632491328499,0.02436531241507982,0.02521126763625964,0.08431328108592,0.0709798417023353,0.07784237546288762,0.059257100551338315,0.060994709754984514,0.04747916843810755,0.0481639606453934,0.06632015450543446,0.11144549375675626,0.10900264247472662,0.12114655879754944,0.12207059313106505,0.10626007394781817,0.046043665171549536,0.024375407916584966,0.020867500062702736,0.0055719647648779964,0.00423534361586212,5.192522968497372
2.15,0.007394019154209326,0.0263630556340785,0.01280681999970114,0.015244509846610252,0.05427187878869618,0.034033791240959614,0.0379494039466891,0.024365253856238535,0.025211196107138747,0.08303489074600316,0.07082460010860403,0.07759701009114321,0.05923805595458506,0.06097192617158453,0.04747681760414559,0.048161340991703744,0.06291339336311746,0.10867833190798008,0.10538792657444747,0.11902928921543554,0.11969113574480122,0.10255748016475608,0.04550820121345493,0.023021076409533353,0.020593655821348256,0.0051617899783794104,0.004233994601929467,5.122019939734822
2.2,0.0073935753907093575,0.0263458397923195,0.012806775385938348,0.015244419052232833,0.054074693887644784,0.03402944417832882,0.03794200957580759,0.024365188306190496,0.025211116052692006,0.08174814535933389,0.07066025383822866,0.07733798693755893,0.059217012087193946,0.06094677312004155,0.04747412223693394,0.04815833932550815,0.05968458155004045,0.10586919631001558,0.101763826968617,0.1168321826340755,0.11723237286140954,0.09891845359062487,0.044831005352651186,0.02196960039794248,0.0204383756605439,0.004846474190317053,0.004231748875899654,5.051908580719705
2.25,0.007393121466444327,0.026328241158507737,0.012806727660644163,0.015244321926410802,0.05387376040176068,0.03402480435663859,0.037934122573439345,0.02436511512933631,0.02521102670023597,0.08045419278889408,0.07048659350366453,0.07706507220301287,0.05919382822099356,0.06091908720574678,0.047471044655682325,0.04815491422666325,0.056633393766843385,0.10302508631488852,0.09814087345493769,0.11456035976913728,0.11470073399039876,0.09534723259471453,0.04401383399624779,0.02117269336075524,0.02036339932374955,0.004608842216198093,0.004222779229362152,4.982040035539402
2.3000000000000003,0.00739265738418377,0.026310260606007472,0.012806676684254706,0.015244218186604937,0.05366912855252613,0.034019859883172625,0.03792572353460668,0.024365033650359226,0.025210927229134768,0.0791541714868953,0.07030342053625427,0.07677805392300904,0.059168359643558606,0.060888700844024125,0.047467544630136305,0.04815102152897745,0.05375867485034617,0.1001530589644241,0.0945293167494309,0.11221931206489218,0.11210298083575831,0.09184753759809366,0.04306260399858601,0.020586265098166596,0.02033665007346632,0.004434043120019463,0.004202959644918828,4.912311896063625
2.35,0.007392183146758892,0.02629189902655578,0.012806622314365362,0.015244107544685068,0.053460849338310974,0.0340145987319583,0.03791679289210481,0.024364943152953143,0.02521081676930211,0.07784920896200549,0.0701105477051564,0.07647674262489758,0.05914045793960644,0.060855442625191436,0.04746357935907721,0.048146614304961206,0.05105849432288162,0.0972601818322503,0.09093906379628171,0.10981484558068003,0.10944613901450587,0.08842259160331346,0.04198650714723362,0.02017047445802141,0.020331691126328023,0.004309304241592305,0.004169593386417878,4.842662759473661
2.4000000000000004,0.007391698757062519,0.02627315733018072,0.01280656440574999,0.015243989706979062,0.05324897451313395,0.03400900875165594,0.037907310932145166,0.02436484287856611,0.02521069439972549,0.07654042029187508,0.06990779960298056,0.07616097190964398,0.05910997129340969,0.06081913770322758,0.04745910346112433,0.04814164286436381,0.04853020297474114,0.09435348783356895,0.08737961985699771,0.107353024519477,0.1067374308706029,0.08507514273813113,0.04079721104765805,0.019889691560428715,0.02032716869569428,0.004223704946360555,0.004121163918813185,4.773066835831095
2.45,0.007391204218049069,0.02625403644511794,0.012806502810380503,0.015243864374322706,0.053033556565185845,0.03400307767351432,0.03789725781007846,0.02436473202516155,0.025210559147015296,0.07522890668337681,0.06969501309720748,0.07583059895742679,0.05907674481092207,0.060779608206253756,0.047454068978193965,0.04813605476682138,0.04617049089489948,0.09143993232787126,0.08386003755496604,0.10484011518004815,0.1039842102181274,0.0818074883498404,0.03950814923895821,0.019712387327462774,0.020306257485643853,0.004167969048164761,0.004057110361374053,4.7035287196108735
