event_number,record_index,volume,pdg,pro,E0_keV,Eprime_k_keV,energy_transfer_E0_minus_Eprime_keV
1471,4,3,22,2013,662.0,123.36476810282234,538.6352318971776
1482,3,3,22,2013,662.0,426.91375535652594,235.08624464347406
1483,3,3,22,2013,662.0,606.5117162006688,55.48828379933116
1488,3,3,22,2013,662.0,618.5111380710979,43.48886192890211
1490,3,3,22,2013,662.0,197.85846820419363,464.1415317958064
1510,3,3,22,2013,662.0,570.2522163062433,91.74778369375667
1514,3,3,22,2013,662.0,636.3814116386282,25.61858836137185
1516,3,3,22,2013,662.0,525.4373448185429,136.5626551814571
1527,3,3,22,2013,662.0,485.5990960116456,176.4009039883544
1532,3,3,22,2013,662.0,528.8878368917617,133.1121631082383
1547,3,3,22,2013,662.0,577.4472953439035,84.55270465609647
1559,3,3,22,2013,662.0,653.0653637360782,8.934636263921789
1571,3,3,22,2013,662.0,361.7903730145933,300.2096269854067
1594,3,3,22,2013,662.0,313.85677167152346,348.14322832847654
1599,3,3,22,2013,662.0,482.22648070620704,179.77351929379296
1605,3,3,22,2013,662.0,396.0548876329368,265.9451123670632
1620,3,3,22,2013,662.0,268.34222964790575,393.65777035209425
1631,3,3,22,2013,662.0,500.8681312044754,161.1318687955246
1644,4,2,22,2013,662.0,294.78962996329346,367.21037003670654
1645,3,3,22,2013,662.0,417.9762231201941,244.0237768798059
1649,3,3,22,2013,662.0,550.2815901335321,111.71840986646794
1652,3,3,22,2013,662.0,385.65894185805394,276.34105814194606
1667,3,3,22,2013,662.0,575.8113232234239,86.18867677657613
1670,3,3,22,2013,662.0,514.0124856234088,147.9875143765912
1671,3,3,22,2013,662.0,633.6018173863131,28.398182613686913
1674,3,3,22,2013,662.0,240.10122326981667,421.89877673018333
1685,3,3,22,2013,662.0,199.32716645274786,462.67283354725214
1689,3,3,22,2013,662.0,373.5927290330981,288.4072709669019
1695,3,3,22,2013,662.0,496.90902368923724,165.09097631076276
1696,3,3,22,2013,662.0,631.118023815359,30.881976184640962
1711,3,3,22,2013,662.0,247.95435995696127,414.0456400430387
1712,3,3,22,2013,662.0,297.5966467108528,364.4033532891472
1726,3,3,22,2013,662.0,187.86729417291662,474.1327058270834
1732,3,3,22,2013,662.0,245.79033934908514,416.2096606509149
1732,5,2,22,2013,662.0,187.87510716365028,474.1248928363497
1739,3,3,22,2013,662.0,496.7476154602649,165.2523845397351
1763,3,3,22,2013,662.0,203.382036503273,458.617963496727
1766,3,3,22,2013,662.0,421.9207620691915,240.07923793080852
1796,3,3,22,2013,662.0,457.1049713641552,204.89502863584482
1800,3,3,22,2013,662.0,576.8929179260025,85.1070820739975
1812,3,3,22,2013,662.0,656.7005683801158,5.299431619884217
1819,3,3,22,2013,662.0,193.98956403516797,468.010435964832
1819,5,2,22,2013,662.0,173.0891535524919,488.9108464475081
1819,6,2,22,2013,662.0,164.28344005248803,497.716559947512
1823,3,3,22,2013,662.0,415.953926110946,246.04607388905401
1839,3,3,22,2013,662.0,579.0792515837004,82.9207484162996
1848,3,3,22,2013,662.0,359.2630658497352,302.7369341502648
1863,3,3,22,2013,662.0,389.3299831932743,272.6700168067257
1873,2,2,22,2013,662.0,518.0262118673953,143.97378813260468
1876,3,3,22,2013,662.0,442.6848680874817,219.31513191251832
1878,3,3,22,2013,662.0,554.5192053116607,107.4807946883393
