Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_5s1/2(1),J_total_Rb_relativistic
3.1500000000000004,0.04330593783581567,0.1248936389177648,0.07995880442633563,0.1637180920251889,0.07225559948838545,0.15091802256313494,0.29932321724679695,0.3020179594412,0.4543329804109936,0.04187407230109506,0.01892770287623497,0.0384983243229406,0.0037290519844306314,1.7937534038403173
3.2,0.043277168670829924,0.12387433321705967,0.07989728196536984,0.16358245801180363,0.0689670125184709,0.1476142242791587,0.2924508051732972,0.29910865929150815,0.44987232232875335,0.04022899019251705,0.01892039733880883,0.03849665999032707,0.003600763424741955,1.7698910764026463
3.25,0.043247973287015726,0.12284842134184518,0.0798333037498912,0.16344144949468523,0.06583604866732662,0.1443134898328804,0.28559522394015113,0.29614533124015624,0.44533095531210065,0.038584342942422196,0.01891911024052981,0.03849032786357848,0.0034694075738367827,1.7460553854864196
3.3000000000000003,0.043218352909807176,0.12181624688481482,0.07976682684776047,0.16329497540939542,0.0628593091235457,0.141019567004654,0.27876425686048295,0.29313105246152754,0.44071365121699546,0.036947945314093504,0.01891745371849191,0.0384687504729298,0.0033359525828568822,1.7222543408073558
3.35,0.043188308781156634,0.12077815227139681,0.07969780932256557,0.16314294701553783,0.060033187824579275,0.13773608182917774,0.27196539779043355,0.29006893905277914,0.4360252337552308,0.03532690320803937,0.018910187051704684,0.038423488397271166,0.0032013047321157876,1.6984979410319885
3.4000000000000004,0.04315784215942546,0.11973447857213763,0.0796262102725061,0.16298527798084095,0.05735389603680244,0.13446653154225274,0.2652058380646735,0.28696213357405786,0.43127055946090137,0.033727611381097596,0.01889308170303312,0.038347971198025244,0.0030663020339055367,1.6747977339796596
3.45,0.04312695431927347,0.1186855653187732,0.07955198986779205,0.1628218844617315,0.05481748606731976,0.13121427849579156,0.2584924555639503,0.2838137932253529,0.42645449967832294,0.03215576235901311,0.018862797807261644,0.03823725306722762,0.002931710398147732,1.651166430629958
3.5,0.043095646551547136,0.11763175032411083,0.07947510938652957,0.1626526851803429,0.052419874051820615,0.12798254500969533,0.2518318058289762,0.2806270786869392,0.4215819236081869,0.030616364324591198,0.018816771636823486,0.0380877918856814,0.0027982218877514544,1.6276175683629963
3.5500000000000003,0.04306392016316651,0.11657336950583935,0.07939553124906991,0.16247760149790974,0.0501568617727318,0.12477440912526407,0.2452301151275602,0.2774051436422066,0.4166576824362589,0.029113766047240502,0.018753113505394117,0.037897250292245756,0.002666454654856664,1.6041652190197442
3.6,0.043031776477010945,0.11551075671437704,0.0793132190507998,0.1622965574845054,0.0480241574713098,0.12159280122149956,0.23869327537595408,0.2741511249942409,0.4116865945576287,0.027651687180328434,0.018670515521713133,0.037664317313438125,0.002536954207479372,1.5808237375702852
3.6500000000000004,0.042999216831803626,0.11444424356486045,0.07922813759335458,0.16210947998508646,0.04601739562614539,0.11844050145297302,0.2322268408108319,0.2708681337808322,0.4066734318993819,0.026233252490050454,0.018568168577479196,0.03738854908519304,0.002410195707384567,1.5576075474053765
3.7,0.04296624258199481,0.11337415927337084,0.07914025291423782,0.16191629868181412,0.04413215567880003,0.11532013796582319,0.22583602630505173,0.2675592467866096,0.4016229073355698,0.024861028793809265,0.018445687940343125,0.0370702272085967,0.002286587045034721,1.534530958511056
3.75,0.042932855097643975,0.1123008304974868,0.07904953231483389,0.1617169461526279,0.04236397969494379,0.11223418584688005,0.2195257072182462,0.2642274988457203,0.396539663180447,0.023537063578173645,0.01830304682277941,0.036710233312575745,0.0021664724804073532,1.5116080150427662
3.8000000000000003,0.0428990557643008,0.11122458118124623,0.07895594438680247,0.16151135792605487,0.04070838895641767,0.10918496675984043,0.21330042067226396,0.26087587582386107,0.39142826073908793,0.02226292443740421,0.01814051730724822,0.03630993844376622,0.002050136674120008,1.488852369072414
3.85,0.04286484598288493,0.11014573240459274,0.07885945903684674,0.16129947253224156,0.03916089948609749,0.10617464922180556,0.2071643681414205,0.2575073082644867,0.386293170888623,0.02103973862455968,0.017958618025274584,0.03587110596292917,0.0019378089643434877,1.4662771775361063
3.9000000000000004,0.04283022716956468,0.10906460223737552,0.07876004750984916,0.16108123155020349,0.037717036513301265,0.10320524947329028,0.2011214192483194,0.2541246656806366,0.38113876565838184,0.01986823213973296,0.01775806801096343,0.035395806694829224,0.0018296677698789955,1.443895019656327
3.95,0.0427952007556346,0.10798150559796438,0.07865768241037158,0.1608565796512915,0.03637234789276863,0.10027863289498641,0.19517511665757228,0.2507307514709915,0.3759693107731442,0.01874876789548447,0.017539746176480672,0.03488634515152292,0.0017258450191782128,1.4217178323473911
4.0,0.04275976818739197,0.10689675411653542,0.07855233772251863,0.16062546463888094,0.03512241649496317,0.09739651592506521,0.18932868196197983,0.24732829843645585,0.3707889591203976,0.017681382599535427,0.017304655886883038,0.034345195725072365,0.0016264305243792467,1.3997568613400588
4.05,0.042723930926012156,0.10581065600307565,0.0784439888281658,0.16038783748429444,0.033962871589628865,0.09456046843160236,0.1835850224585492,0.24391996487171858,0.3656017450999228,0.016665822080736,0.017053894143303196,0.03377494782285534,0.001531476236302161,1.3780226259761665
4.1000000000000005,0.04268769044742301,0.10472351592014865,0.078332612523556,0.16014365235897463,0.03288939924818827,0.09177191649576014,0.17794673871502542,0.24050833120483228,0.36041157981210803,0.01570157485765588,0.016788624915992936,0.033178258995405996,0.0014410003337396525,1.356524895828811
4.15,0.04265104824217813,0.10363563486045667,0.07821818703427035,0.1598928666629287,0.031897751793729806,0.08903214556263349,0.172416132831325,0.23709589715682655,0.35522224704006206,0.01478790381121077,0.01651005620136338,0.03255781518200455,0.0013549911156295067,1.3352726774946189
4.2,0.042614005815329155,0.10254731002922797,0.07810069202858176,0.1596354410494713,0.030983756330018035,0.08634230391812292,0.16699521730430372,0.23368507939269648,0.3500373999797918,0.01392387587480075,0.01621942040937924,0.03191629727220837,0.0012734106752868711,1.3142742100792186
4.25,0.04257656468629706,0.10145883473145247,0.07798010862920134,0.1593713394462974,0.030143322383203025,0.08370340645180936,0.16168572440859835,0.2302782096347456,0.34486055867237647,0.013108389698670956,0.015917957719065116,0.03125635325150683,0.0011961983439125739,1.2935369680571367
4.3,0.042538726388742426,0.10037049826398184,0.07785641942343013,0.1591005290729214,0.02937244869172923,0.08111633866753973,0.15648911601078483,0.2268775332091714,0.3396951080921403,0.012340201280694942,0.015606902070181138,0.030580575265748526,0.0011232738940981865,1.2730676703311643
4.3500000000000005,0.04250049247043479,0.09928258581250463,0.0777296084717307,0.15882298045452373,0.028667229181380274,0.07858186090526442,0.1514065937387397,0.2234852079969346,0.33454429684526016,0.011617947584525197,0.015287469488104364,0.02989148100157491,0.0010545404977534514,1.2528722944487312
4.4,0.042461864493121004,0.09819537835340077,0.07759966131473475,0.15853866743224937,0.02802385816347216,0.07610061273957228,0.14643910943282235,0.22010330376031195,0.32941123643397663,0.010940168188962858,0.014960848466428313,0.0291914988386432,0.0009898874376524343,1.232956095055348
4.45,0.042422844032392715,0.09710915256047396,0.07746656497870517,0.15824756717000885,0.027438634794951344,0.07367311752232,0.14158737581026132,0.21673380181706792,0.3242989010425766,0.010305325030291804,0.014628192157628355,0.028482956283940583,0.0009291925766711771,1.2133236257772897
4.5,0.042383432677552874,0.09602418071655508,0.0773303079794724,0.15794966015783418,0.02690796683959579,0.07129978703873685,0.13685187727889547,0.21337859503487014,0.31921012780252567,0.009711820312936499,0.014290612146265048,0.027768071249051857,0.0008723245943941325,1.193978763828686
4.55,0.042343632031481414,0.09494073062996372,0.0771908803248669,0.15764493021184783,0.026428373769681865,0.06898092624837455,0.13223288084114151,0.21003948811938225,0.31414761749552234,0.009158012673785468,0.01394917360161179,0.02704894577790261,0.0008191450031452159,1.1749247367287075
4.6000000000000005,0.042303443710500016,0.09385906555580997,0.07704827351567108,0.1573333644709049,0.025996489247396427,0.06671673808425962,0.12773044703370945,0.20671819817038198,0.3091139356547768,0.0086422316924449,0.013604891627348738,0.026327561875311475,0.0007695099563720156,1.1561641505948874
