Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_5d3/2(1),J_6s1/2(2),J_total_La_relativistic
27.55,0.007781038536795838,0.0012173589439818536,0.004655255373062496,0.004088540821070093,0.00027463485456024104,0.0012454627728829598,0.0011539242577624019,0.0003637276070426331,0.0003308278746165499,6.906333867205057e-05,0.0002840950895073182,0.00026541445896482524,8.362853736428087e-05,7.60422727112047e-05,1.2800433537450246e-05,4.37387142017185e-05,4.014309495482673e-05,5.503723983074133e-06,1.1068560956543501e-06,0.05759734954318099
27.6,0.0077661753525061624,0.0012171688634277057,0.004629073919880562,0.004063463861768383,0.0002735562961616472,0.0012392692379915166,0.0011473993119413323,0.00035967393820070384,0.0003270666216989815,6.865430482829211e-05,0.00028275351520142797,0.00026396340061971474,8.269202743672603e-05,7.517315599162342e-05,1.2718300020120768e-05,4.353466448885204e-05,3.992534099128242e-05,5.441881765288432e-06,1.0997119742126123e-06,0.05731536040470248
27.650000000000002,0.007751324862980249,0.001216992467142455,0.004603031215593041,0.004038533689890322,0.0002725071365351745,0.001233094060228775,0.0011409011391179426,0.00035566841364748054,0.0003233508242102931,6.825552555981601e-05,0.00028141454521770184,0.0002625172396389077,8.176664953417818e-05,7.431456128143136e-05,1.263819419710396e-05,4.333095919957165e-05,3.9708283527391066e-05,5.380756794926202e-06,1.092759373085668e-06,0.057035118183224105
27.700000000000003,0.007736487147888707,0.0012168291573247014,0.004577126709746342,0.00401374961174997,0.0002714867748251912,0.0012269374028848726,0.0011344298162137363,0.00035171043250944073,0.00031967990559627225,6.786680200055154e-05,0.0002800782417311771,0.00026107601655437544,8.085226574325309e-05,7.346635587152866e-05,1.2560077077736681e-05,4.312760889178497e-05,3.949192974776117e-05,5.320379017234287e-06,1.0859654743328253e-06,0.05675661001358899
27.75,0.007721662286386098,0.00121667834675441,0.004551359851250184,0.00398911093427573,0.0002704946192152589,0.0012207994248728047,0.0011279854161097254,0.0003477994016767448,0.0003160532968726474,6.748793823018106e-05,0.0002787446656338097,0.0002596397706411361,7.994873988966963e-05,7.262840875927828e-05,1.2483910243051723e-05,4.292462408142445e-05,3.92762869525225e-05,5.260771337551573e-06,1.079302993428795e-06,0.05647982314263253
27.8,0.00770685035711173,0.0012165394586629121,0.004525730088427855,0.003964616965056558,0.00026953008682676,0.0012146802807844758,0.0011215680077127333,0.00034393473570142795,0.00031247043652408524,6.711874124198124e-05,0.00027741387654793407,0.0002582085399354702,7.90559375168177e-05,7.180059062694764e-05,1.2409655838500101e-05,4.272201516565061e-05,3.906136241458194e-05,5.201940569711495e-06,1.072756748171188e-06,0.056204744931538216
27.85,0.007692051438190477,0.0012164119266039762,0.00450023686906577,0.003940267012387352,0.00026859260361803805,0.001208580120946485,0.001115177656021062,0.00034011585669690725,0.00030893077040452057,6.675902091077932e-05,0.0002760859328397566,0.0002567823612530172,7.817372586456213e-05,7.098277382039831e-05,1.2337276568702545e-05,4.251979231865782e-05,3.884716318113985e-05,5.143873230046706e-06,1.0663267056486278e-06,0.055931362855732324
27.900000000000002,0.007677265607233589,0.0012162951943259484,0.004474879640462289,0.003916060385313518,0.00026768160428406563,0.001202499091475627,0.0011088144221895132,0.00033634219423878207,0.00030543375163879653,6.640858996103066e-05,0.00027476089163287607,0.0002553612702067478,7.730197384828036e-05,7.017483232802147e-05,1.2266735694167456e-05,4.2317965389759535e-05,3.863369587590278e-05,5.0865372219875885e-06,1.0600267133306705e-06,0.05565966450205927
27.950000000000003,0.00766249294133953,0.001216188715644962,0.004449657849475835,0.0038919963936747243,0.0002667965321566545,0.001196437334334106,0.0011024783635937647,0.0003326131852669169,0.00030197884052560333,6.606726393502457e-05,0.00027343880882182547,0.00025394530122480974,7.644055203813315e-05,6.937664175991837e-05,1.2197997029318635e-05,4.211654383386517e-05,3.842096655984901e-05,5.029888775836454e-06,1.0538792983630786e-06,0.05538963756366073
28.0,0.007647733517094819,0.0012160919543192149,0.0044245709425723015,0.0038680743481478708,0.00026593683910522143,0.001190394987384447,0.001096169533894103,0.0003289282739887899,0.00029856550444169787,6.573486116122477e-05,0.00027211973908562866,0.00025253448756824446,7.558933263856556e-05,6.858807932732276e-05,1.2131024940751534e-05,4.1915536696215865e-05,3.8208980693222225e-05,4.973882522509193e-06,1.0479081128731922e-06,0.055121269833805206
