Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(3),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(2),J_total_Pr_relativistic
140.3,9.232599975651288e-05,1.4887769062957737e-05,1.546986216463397e-06,4.851372617752304e-07,3.2301428456028186e-06,3.705860138713023e-07,1.1960474396451725e-07,1.7445913706030895e-09,9.102235618318364e-10,7.624317562498522e-07,8.452960248804997e-08,2.7536236860224253e-08,6.481451906965971e-10,4.6214252391579333e-10,4.6214252391579333e-10,1.3100862391402961e-07,1.2096602696928427e-08,3.890952201218954e-09,8.553303287267546e-09,0.00022928280963120906
140.35,9.218444880471991e-05,1.4863336545914504e-05,1.5438397436082942e-06,4.839583544872295e-07,3.224784352318039e-06,3.6982963543410965e-07,1.1931575270090693e-07,1.7399528862340092e-09,9.077884670810309e-10,7.611734002054532e-07,8.43435388759274e-08,2.7463471802246342e-08,6.470269964180241e-10,4.6153702503729837e-10,4.6153702503729837e-10,1.3079423654012566e-07,1.2066951665435407e-08,3.8793638237721795e-09,8.537866028073486e-09,0.00022892266191364263
140.4,9.204314781690131e-05,1.4838950748426674e-05,1.54070081092565e-06,4.827827071916397e-07,3.219436825238662e-06,3.6907504730525124e-07,1.1902754257253191e-07,1.7353057517560082e-09,9.053441855388643e-10,7.599153863564382e-07,8.415783684698421e-08,2.7390854336416926e-08,6.459337874736038e-10,4.609470450847903e-10,4.609470450847903e-10,1.3057941941006284e-07,1.2037362963966359e-08,3.867803236632982e-09,8.522360763263851e-09,0.00022856316566348167
140.45000000000002,9.190209628591556e-05,1.4814611567147355e-05,1.5375693975046186e-06,4.816103097695997e-07,3.2141002342113166e-06,3.683222327583637e-07,1.1874010218415534e-07,1.7306500813972257e-09,9.028907754209863e-10,7.586577060960345e-07,8.397253041681624e-08,2.7318402259814713e-08,6.448652111602277e-10,4.603723504212274e-10,4.603723504212274e-10,1.3036417509961175e-07,1.200784721336919e-08,3.856276988886994e-09,8.50678106136878e-09,0.0002282043195976722
140.5,9.17612937057679e-05,1.4790318898986559e-05,1.5344454824997894e-06,4.804411521368961e-07,3.208774547769092e-06,3.6757117522265127e-07,1.1845342024799256e-07,1.7259860473593183e-09,9.004283389804271e-10,7.574003563368887e-07,8.378765336949363e-08,2.724613323160573e-08,6.438207890056729e-10,4.5981261812317406e-10,4.5981261812317406e-10,1.3014850548500115e-07,1.1978414113215378e-08,3.8447908913658286e-09,8.491126746332006e-09,0.00022784612245011393
140.55,9.162073957160725e-05,1.4766072641110448e-05,1.5313290451309535e-06,4.792752242438299e-07,3.2034597331489184e-06,3.668218583100046e-07,1.1816748560415172e-07,1.7213138796828385e-09,8.979570226524313e-10,7.561433394717479e-07,8.360323912769368e-08,2.7174064691743518e-08,6.427999255950901e-10,4.5926744316280875e-10,4.5926744316280875e-10,1.299324114696887e-07,1.1949072323378154e-08,3.8333499442236756e-09,8.475403965024752e-09,0.00022748857297032275
140.6,9.1480433379724e-05,1.474187269094072e-05,1.5282200646828887e-06,4.781125160750901e-07,3.1981557563122288e-06,3.6607426584173577e-07,1.1788228724079215e-07,1.7166338659558767e-09,8.954770170730731e-10,7.548866633145935e-07,8.341932062606533e-08,2.710221378199871e-08,6.418019185816808e-10,4.587363464189689e-10,4.587363464189689e-10,1.2971589269623943e-07,1.1919829407904037e-08,3.821958310896461e-09,8.4596233569037e-09,0.00022713166991856682
140.65,9.134037462754657e-05,1.4717718946153795e-05,1.5251185205051189e-06,4.769530176496183e-07,3.192862581968776e-06,3.653283818748585e-07,1.1759781431395282e-07,1.7119463508625402e-09,8.929885569668749e-10,7.536303410225631e-07,8.323593018884074e-08,2.7030597270112844e-08,6.40825969650302e-10,4.5821878331023447e-10,4.5821878331023447e-10,1.2949894726344253e-07,1.1890691835465026e-08,3.810619328537769e-09,8.443797351840333e-09,0.00022677541205950777
140.70000000000002,9.12005628136391e-05,1.4693611304680202e-05,1.5220243920117007e-06,4.757967190204837e-07,3.187580173603632e-06,3.6458419072786526e-07,1.1731405616701293e-07,1.7072517355685645e-09,8.904919208992693e-10,7.523743909991937e-07,8.30530994126595e-08,2.695923147782708e-08,6.39871196202564e-10,4.5771415284797416e-10,4.5771415284797416e-10,1.2928157146983225e-07,1.1861665029409736e-08,3.799335545117937e-09,8.427937917197137e-09,0.00022641979815699186
140.75,9.106099743769849e-05,1.4669549664703837e-05,1.518937658680994e-06,4.7464361027475206e-07,3.1823084935072213e-06,3.6384167700593204e-07,1.1703100234973862e-07,1.7025504769418229e-09,8.879874308902556e-10,7.51118836779628e-07,8.287085905549692e-08,2.6888132213475485e-08,6.389366435384434e-10,4.5722180691862147e-10,4.5722180691862147e-10,1.2906375960499196e-07,1.183275346141758e-08,3.788108775876254e-09,8.41205542455023e-09,0.00022606482697133678
140.8,9.092167800055134e-05,1.4645533924661219e-05,1.5158583000554333e-06,4.7349368153335605e-07,3.1770475028083582e-06,3.6310082562549735e-07,1.1674864263687603e-07,1.6978430866063194e-09,8.854754518863398e-10,7.498637068985959e-07,8.268923893251033e-08,2.681731470976424e-08,6.380212973216788e-10,4.567410596212414e-10,4.567410596212414e-10,1.288455038095997e-07,1.1803960785226222e-08,3.7769401758746e-09,8.396158300626269e-09,0.0002257104972584712
140.85,9.078260400415176e-05,1.4621563983240886e-05,1.5127862957413178e-06,4.723469229509723e-07,3.1717971615102192e-06,3.6236162183816306e-07,1.1646696704625213e-07,1.6931301298289476e-09,8.829563910885265e-10,7.486090347421159e-07,8.250826781952357e-08,2.674679356727847e-08,6.37124096132951e-10,4.562711965073391e-10,4.562711965073391e-10,1.286267940241978e-07,1.1775290009746855e-08,3.765830329856157e-09,8.380252529611151e-09,0.00022535680776911114
140.9,9.064377495157792e-05,1.4597639739382592e-05,1.5097216254085762e-06,4.712033247158896e-07,3.1665574285290996e-06,3.6162405125385213e-07,1.1618596585633983e-07,1.688412224238966e-09,8.804306971348401e-10,7.473548583839571e-07,8.232797336476385e-08,2.6676582704169522e-08,6.362439439348273e-10,4.558114835934328e-10,4.558114835934328e-10,1.284076180451402e-07,1.1746743712951905e-08,3.7547793642268964e-09,8.364340284608538e-09,0.00022500375724657958
140.95000000000002,9.050519034702987e-05,1.45737610922767e-05,1.5066642687905582e-06,4.700628770498879e-07,3.161328261735942e-06,3.6088809986318214e-07,1.1590562962325358e-07,1.6836900383810793e-09,8.778988591367097e-10,7.461012204080539e-07,8.214838200936014e-08,2.6606695312383303e-08,6.353797222943702e-10,4.55361176041674e-10,4.55361176041674e-10,1.281879617040248e-07,1.1718324298288345e-08,3.74378708771185e-09,8.34841786383128e-09,0.00022465134442369177
141.0,9.036684969582657e-05,1.4549927941363457e-05,1.5036142056838104e-06,4.689255702081106e-07,3.156109618000465e-06,3.6015375405899306e-07,1.1562594919713434e-07,1.6789642901036652e-09,8.753614055692833e-10,7.448481677181144e-07,8.196951891698991e-08,2.6537143820689647e-08,6.345303022317677e-10,4.549195264282339e-10,4.549195264282339e-10,1.2796780918398556e-07,1.1690034293523685e-08,3.732853166482663e-09,8.332474080447525e-09,0.0002242995680210486
141.05,9.022875250440282e-05,1.4526140186332255e-05,1.5005714159478528e-06,4.677913944789391e-07,3.150901453237813e-06,3.594210006569837e-07,1.1534691573788909e-07,1.674235744784612e-09,8.728189030166258e-10,7.435957513357714e-07,8.179140791294421e-08,2.646793986467266e-08,6.336945555849491e-10,4.544857925419581e-10,4.544857925419581e-10,1.2774714348232528e-07,1.1661876687859794e-08,3.721977336251003e-09,8.316490556260966e-09,0.0002239484267496748
141.1,9.009089828030718e-05,1.4502397727121041e-05,1.4975358795049738e-06,4.6666034018387295e-07,3.1457037224576434e-06,3.586898269154131e-07,1.1506852073025134e-07,1.6695052133980686e-09,8.70271954773605e-10,7.423440261886805e-07,8.161407143275869e-08,2.639909426373978e-08,6.328713658000772e-10,4.540592446756281e-10,4.540592446756281e-10,1.2752594702394278e-07,1.1633855297310836e-08,3.711159648444898e-09,8.300444694688107e-09,0.00022359791931953927
141.15,8.995328653219853e-05,1.4478700463915518e-05,1.4945075763399999e-06,4.6553239767740213e-07,3.1405163798154637e-06,3.579602205538116e-07,1.1479075599812504e-07,1.664773550426135e-09,8.677211993070757e-10,7.410930508899882e-07,8.143753048043322e-08,2.6330617005105084e-08,6.320596380749406e-10,4.536391723881767e-10,4.536391723881767e-10,1.2730420242375526e-07,1.1605975141582657e-08,3.700400740998877e-09,8.284314802527532e-09,0.00022324804445283128
141.20000000000002,8.981591676984392e-05,1.445504829714856e-05,1.4914864865000928e-06,4.644075573468893e-07,3.1353393786661764e-06,3.57232169770669e-07,1.1451361371818382e-07,1.660041651620529e-09,8.651673085799238e-10,7.398428875106534e-07,8.126180459614827e-08,2.6262517234606163e-08,6.312583087961329e-10,4.532248907278185e-10,4.532248907278185e-10,1.27081893388916e-07,1.1578242809130695e-08,3.689702117601864e-09,8.268085561910117e-09,0.00022289880089827272
141.25,8.967878850411563e-05,1.4431441127499483e-05,1.4884725900945305e-06,4.632858096124465e-07,3.1301726716196387e-06,3.5650566326004997e-07,1.1423708643269071e-07,1.655310451619927e-09,8.626109862423041e-10,7.385936013460724e-07,8.108691183326648e-08,2.619480325411881e-08,6.304663542212031e-10,4.528157459128119e-10,4.528157459128119e-10,1.2685900574328854e-07,1.1550666781937206e-08,3.6790664136441654e-09,8.2517514331123e-09,0.00022255018744144807
141.3,8.954190124698816e-05,1.440787885589333e-05,1.4854658672944877e-06,4.621671449268122e-07,3.125016210598128e-06,3.5578069022710043e-07,1.1396116706151004e-07,1.6505809214295952e-09,8.600529656953136e-10,7.373452606784631e-07,8.091286874430227e-08,2.612748252524783e-08,6.296827983636948e-10,4.524111204688267e-10,4.524111204688267e-10,1.2663552854783505e-07,1.1523257688967193e-08,3.6684976236733115e-09,8.235316091762377e-09,0.00022220220290713653
