Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(4),J_total_Se
3.6,0.024652501375379228,0.05977353027473073,0.017210567177608733,0.04573523100729228,0.047414984581892,0.06487679650568914,0.003930627208046347,0.004678207160153214,0.049305002750758456,0.11954706054946146,0.2744113860437537,0.034421134355217466,0.284489907491352,0.007861254416092695,0.6487679650568914,0.018712828640612855,1.43751653930414
3.6500000000000004,0.024628135739254292,0.05904510400662135,0.016672688690677673,0.0456511271717201,0.04561941932869316,0.06358360278238127,0.003646548450649445,0.004525610181508361,0.049256271478508584,0.1180902080132427,0.27390676303032063,0.033345377381355346,0.27371651597215896,0.00729309690129889,0.6358360278238128,0.018102440726033443,1.4095467013267315
3.7,0.024603467067223325,0.058316797482505886,0.01618820371507461,0.04556455110159702,0.04387122990178703,0.06230230250613487,0.003385858030107847,0.004373459949202419,0.04920693413444665,0.11663359496501177,0.2733873066095821,0.03237640743014922,0.26322737941072216,0.006771716060215694,0.6230230250613487,0.017493839796809674,1.382120203468286
3.75,0.024578496677011858,0.05758886297859689,0.015753452368078475,0.04547549004597887,0.04217073444005778,0.06103368135468891,0.003147201547637714,0.004222248066430509,0.049156993354023716,0.11517772595719378,0.2728529402758732,0.03150690473615695,0.2530244066403467,0.006294403095275428,0.6103368135468891,0.016888992265722037,1.355239179871481
3.8000000000000003,0.024553225900887463,0.0568615483020348,0.01536490010918829,0.04538393282651865,0.0405181228472971,0.059778461913836886,0.0029292453707678366,0.004072417254215442,0.04910645180177493,0.1137230966040696,0.2723035969591119,0.03072980021837658,0.24310873708378258,0.005858490741535673,0.5977846191383689,0.01628966901686177,1.3289044615638819
3.85,0.024527656085499807,0.05613509670147988,0.015019141949163786,0.04528986984044989,0.0389134642868863,0.05853730571592646,0.002730684528707146,0.003924363195498065,0.049055312170999614,0.11227019340295975,0.2717392190426993,0.03003828389832757,0.2334807857213178,0.005461369057414292,0.5853730571592646,0.01569745278199226,1.3031156732349751
3.9000000000000004,0.02450178859171926,0.05540974678323529,0.01471290565952695,0.04519329306151881,0.03735671466551991,0.057310815381002,0.002550249149965931,0.0037784366892664603,0.04900357718343852,0.11081949356647058,0.2711597583691129,0.0294258113190539,0.22414028799311947,0.005100498299931862,0.57310815381002,0.015113746757065841,1.2778713272982132
3.95,0.024475624794474106,0.05468573243285875,0.014443054057295813,0.045094196038903606,0.035847724062100815,0.056099536836229945,0.0023867096087738385,0.0036349460198148165,0.04895124958894821,0.1093714648657175,0.27056517623342163,0.028886108114591625,0.21508634437260488,0.004773419217547677,0.5609953683622995,0.014539784079259266,1.25316891483439
4.0,0.024449166082586394,0.05396328274222318,0.014206586438558003,0.044992573894161926,0.034386244062914455,0.054903961591618554,0.00223888053422439,0.0034941594632794293,0.04889833216517279,0.10792656548444636,0.26995544336497157,0.028413172877116005,0.20631746437748671,0.00447776106844878,0.5490396159161856,0.013976637853117717,1.2290049931069456
4.05,0.02442241385860648,0.05324262194198929,0.014000639232861824,0.044888423316250765,0.03297193496893042,0.05372452905231204,0.0021056238235085544,0.003356307868116069,0.04884482771721296,0.10648524388397858,0.2693305398975046,0.028001278465723648,0.19783160981358255,0.004211247647017109,0.5372452905231204,0.013425231472464275,1.2053752694206041
4.1000000000000005,0.024395369538646298,0.05252396933945331,0.01382248594837446,0.044781742554665147,0.03160437284556363,0.052561628849889866,0.001985850788301835,0.0032215872584986614,0.048790739077292596,0.10504793867890662,0.26869045532799085,0.02764497189674892,0.18962623707338178,0.00397170157660367,0.5256162884988986,0.012886349033994646,1.1822746811638176
4.15,0.02436803455221139,0.051807539261732996,0.013669536475395441,0.04467253141074481,0.03028305638944135,0.05141560317712799,0.001878523551505004,0.003090161420031162,0.04873606910442278,0.10361507852346599,0.26803518846446883,0.027339072950790883,0.1816983383366481,0.003757047103010008,0.5141560317712799,0.012360645680124648,1.159697471934211
