Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Pu_relativistic
86.06,0.001877033236281007,0.0004617711283507021,0.0004847605596067745,0.0001924521714444826,0.00011426819839197708,0.00015054261858061125,6.715865522800657e-05,6.8538253129187985e-06,4.052689979127291e-06,3.1607559121488784e-05,4.290478839293215e-05,1.944252328072194e-05,2.268618715317784e-06,1.3475818993666159e-06,2.0589562387819197e-08,1.3883412013841777e-08,8.30076400096017e-06,1.07539506533071e-05,4.821323412982744e-06,4.850537848969241e-07,2.855752319898021e-07,2.1373636208076734e-09,1.6367632259290976e-06,1.7754607825426724e-06,7.021721974230912e-07,1.0929765046705557e-07,0.007582028535099464
86.07000000000001,0.0018766079657133684,0.00046168645277448115,0.00048453451166396424,0.0001923358485230207,0.00011425061230957033,0.00015047118807348103,6.711691431922616e-05,6.848048998872606e-06,4.048980257729697e-06,3.160300981432773e-05,4.288436434920044e-05,1.9430351521766148e-05,2.2666914477453918e-06,1.3463392526844969e-06,2.056659829746786e-08,1.3867238572529323e-08,8.299587983880704e-06,1.0748832716420337e-05,4.818304346949421e-06,4.846527550510678e-07,2.853215330162345e-07,2.1351350567347794e-09,1.6365384089069678e-06,1.774617127418957e-06,7.017332427704196e-07,1.092831298890295e-07,0.007579555103320715
86.08,0.0018761826951457302,0.00046160177719826024,0.0004843084637211544,0.00019221952560155892,0.00011423302622716362,0.0001503997575663509,6.70751734104458e-05,6.842272684826421e-06,4.045270536332109e-06,3.1598460507166686e-05,4.286394030546876e-05,1.9418179762810373e-05,2.2647641801730026e-06,1.3450966060023798e-06,2.0543634207116553e-08,1.385106513121689e-08,8.298411966801238e-06,1.0743714779533581e-05,4.815285280916103e-06,4.84251725205212e-07,2.8506783404266735e-07,2.132906492661889e-09,1.6363135918848381e-06,1.7737734722952428e-06,7.012942881177487e-07,1.0926860931100344e-07,0.007577081671541967
86.09,0.0018757574245780912,0.0004615171016220392,0.0004840824157783442,0.000192103202680097,0.00011421544014475687,0.00015032832705922072,6.703343250166539e-05,6.836496370780229e-06,4.041560814934515e-06,3.1593911200005634e-05,4.284351626173705e-05,1.940600800385458e-05,2.2628369126006105e-06,1.343853959320261e-06,2.0520670116765212e-08,1.3834891689904436e-08,8.297235949721772e-06,1.0738596842646817e-05,4.8122662148827796e-06,4.838506953593556e-07,2.8481413506909977e-07,2.130677928588995e-09,1.6360887748627084e-06,1.7729298171715272e-06,7.008553334650771e-07,1.0925408873297736e-07,0.007574608239763215
86.10000000000001,0.0018753321540104526,0.0004614324260458182,0.0004838563678355341,0.00019198687975863516,0.00011419785406235012,0.00015025689655209052,6.699169159288501e-05,6.830720056734042e-06,4.037851093536926e-06,3.1589361892844575e-05,4.282309221800536e-05,1.9393836244898796e-05,2.2609096450282206e-06,1.3426113126381434e-06,2.0497706026413903e-08,1.3818718248592003e-08,8.296059932642306e-06,1.0733478905760057e-05,4.80924714884946e-06,4.834496655134997e-07,2.8456043609553245e-07,2.1284493645160993e-09,1.6358639578405784e-06,1.7720861620478124e-06,7.00416378812406e-07,1.0923956815495127e-07,0.007572134807984466
86.11,0.00187490736476419,0.00046134774508126505,0.00048363092031708613,0.00019187094409997202,0.00011418024945302651,0.00015018565526541715,6.695009292381449e-05,6.824970844506739e-06,4.034159980376989e-06,3.1584805958101637e-05,4.280272206085064e-05,1.93817061982561e-05,2.2589914987296488e-06,1.3413749537525283e-06,2.0474888782988145e-08,1.380265355301198e-08,8.294882246677668e-06,1.0728376008868394e-05,4.80624049166706e-06,4.830503597157844e-07,2.843078864267828e-07,2.1262120803085144e-09,1.6356387849658957e-06,1.7712450184848433e-06,6.999800522597623e-07,1.0922496875742646e-07,0.007569666650488011
86.12,0.0018744825755179267,0.00046126306411671173,0.0004834054727986378,0.00019175500844130874,0.00011416264484370287,0.00015011441397874367,6.690849425474391e-05,6.819221632279428e-06,4.030468867217047e-06,3.1580250023358685e-05,4.27823519036959e-05,1.9369576151613384e-05,2.2570733524310744e-06,1.3401385948669115e-06,2.0452071539562356e-08,1.3786588857431933e-08,8.29370456071303e-06,1.0723273111976725e-05,4.803233834484657e-06,4.826510539180685e-07,2.840553367580328e-07,2.1239747961009257e-09,1.6354136120912126e-06,1.770403874921873e-06,6.99543725707118e-07,1.0921036935990162e-07,0.007567198492991549
86.13,0.0018740577862716642,0.00046117838315215857,0.0004831800252801899,0.0001916390727826456,0.00011414504023437926,0.0001500431726920703,6.686689558567339e-05,6.813472420052125e-06,4.026777754057109e-06,3.157569408861574e-05,4.2761981746541185e-05,1.9357446104970687e-05,2.255155206132503e-06,1.3389022359812963e-06,2.0429254296136597e-08,1.3770524161851911e-08,8.292526874748392e-06,1.0718170215085062e-05,4.800227177302257e-06,4.822517481203531e-07,2.8380278708928313e-07,2.1217375118933404e-09,1.63518843921653e-06,1.769562731358904e-06,6.991073991544742e-07,1.0919576996237681e-07,0.007564730335495095
86.14,0.0018736329970254011,0.0004610937021876053,0.00048295457776174156,0.0001915231371239823,0.00011412743562505563,0.0001499719314053968,6.682529691660282e-05,6.807723207824814e-06,4.0230866408971674e-06,3.157113815387279e-05,4.274161158938644e-05,1.9345316058327973e-05,2.2532370598339287e-06,1.3376658770956795e-06,2.040643705271081e-08,1.3754459466271864e-08,8.291349188783753e-06,1.0713067318193392e-05,4.797220520119854e-06,4.818524423226371e-07,2.8355023742053315e-07,2.119500227685752e-09,1.6349632663418468e-06,1.7687215877959337e-06,6.986710726018298e-07,1.0918117056485198e-07,0.007562262177998638
86.15,0.001873208207779138,0.000461009021223052,0.00048272913024329336,0.0001914072014653191,0.00011410983101573199,0.00014990069011872338,6.678369824753228e-05,6.801973995597508e-06,4.019395527737229e-06,3.156658221912984e-05,4.27212414322317e-05,1.9333186011685265e-05,2.251318913535356e-06,1.336429518210064e-06,2.0383619809285046e-08,1.373839477069184e-08,8.290171502819115e-06,1.0707964421301724e-05,4.794213862937453e-06,4.814531365249216e-07,2.8329768775178333e-07,2.1172629434781618e-09,1.6347380934671639e-06,1.767880444232964e-06,6.98234746049186e-07,1.0916657116732714e-07,0.00755979402050218
