Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(1),J_total_Fr_relativistic
13.75,0.007612445931310923,0.015259840847462848,0.013170955450802716,0.014858705476208026,0.005250593627506014,0.012756979605055714,0.010379820718452221,0.018978274437566316,0.01897249180222809,0.00389646946951023,0.005164850777891979,0.005101924747050831,0.0025572911887598512,0.0025434304614941994,0.007016022726982411,0.006745043239569807,0.0014430554768243905,0.001120490660777343,0.0011710611934671383,0.00047983174131813194,0.00044204925870357416,0.00026996823986579844,0.0001464048324363587,0.00013504848825783976,1.4403365725643903e-05,0.5746506565819438
13.8,0.007609182924326289,0.01519110371335789,0.013161210325247209,0.014842626824046865,0.005229276835572483,0.012630379281350248,0.010254699082640316,0.018903128483270012,0.01889151126267082,0.0038295816729107804,0.005150672045038807,0.005069819112010592,0.002542388503237324,0.0025331882755423875,0.006918802039041278,0.0066499805142293655,0.001418375208203132,0.0011201196020070201,0.001166856453852622,0.00047315068994339493,0.00043698873558809854,0.0002654279899738909,0.00014639369223728754,0.00013463963643817108,1.4161773543530375e-05,0.5709496294866412
13.850000000000001,0.007605910127682991,0.015122462674188953,0.01315139707567482,0.014826448733490951,0.00520878228053306,0.012504558863927036,0.01013074472187388,0.01882782913455351,0.01881040753682529,0.0037638060675480828,0.005135998557984358,0.005037314989070377,0.002528241098886507,0.002523556478955261,0.006822871009361674,0.006556204722478627,0.0013939698758804494,0.0011196752328755742,0.0011624992067321542,0.0004667259735153363,0.0004321469789166903,0.0002609310169435255,0.0001463770848940099,0.00013421239281777807,1.3922438504094135e-05,0.5672812549627143
13.9,0.007602627562001598,0.01505391957877893,0.01314151572156285,0.014810171434314574,0.0051890896908434415,0.012379523450029148,0.010007957918933488,0.01875238219865124,0.018729186995820036,0.003699140893914485,0.005120833571293092,0.005004426520864265,0.0025148218422841734,0.002514509836271012,0.006728214806458895,0.0064637005847541515,0.0013698447265533464,0.0011191525367699779,0.0011579913120079287,0.0004605504265200041,0.0004275171087960694,0.0002564786150890555,0.00014635404314679694,0.00013376688603763997,1.3685431260728451e-05,0.5636450975317886
13.950000000000001,0.007599335247948126,0.014985476259867868,0.01313156628628001,0.014793795162769153,0.0051701790133521965,0.012255277937888501,0.009886338712715645,0.018676793466558993,0.01864785598293734,0.003635583811447475,0.0051051807863083665,0.004971167888945462,0.0025021042290164284,0.00250602376215055,0.006634818693398423,0.006372452930326725,0.001346004646068142,0.0011185468569433533,0.001153334792595715,0.0004546170051012216,0.0004230923833808934,0.0002520720045721058,0.000146323659363079,0.00013330326996732511,1.3450821058721232e-05,0.560040730325634
14.0,0.007596033206233769,0.014917134534082256,0.01312154879707612,0.014777320161540186,0.00515203041530844,0.012131827028251767,0.009765886902235182,0.01860106871179818,0.018566420812350475,0.0035731319179055586,0.00508904432960746,0.004937553297572742,0.0024900623754841975,0.0024980743111369355,0.006542668029923998,0.006282446699137995,0.0013224541672357893,0.0011178538843031043,0.0011485318235645997,0.0004489187874516569,0.00041886619829289946,0.00024771233276650546,0.00014628508362216005,0.0001328217221796422,1.3218670989964992e-05,0.556467734894411
14.05,0.007592721457614622,0.014848896201906065,0.013111463285071446,0.014760746679703559,0.005134624286238184,0.012009175225949,0.009646602050643048,0.01852521368920458,0.018484887767890833,0.0035117817685683846,0.005072428731983331,0.004903596958200211,0.0024786710106117628,0.0024906381673846126,0.0064517482744616385,0.006193666943516178,0.0012991974777696025,0.0011170696454049275,0.0011435847216596708,0.00044344897406476183,0.00041483208593228653,0.00024340067566600045,0.00014623752183002997,0.00013232244247566585,1.2989037649124756e-05,0.552925701022051
14.100000000000001,0.007589400022891408,0.01478076304765359,0.013101309785245594,0.014744074972681239,0.00511794123969167,0.011887326841503624,0.00952848348925734,0.018449234133741742,0.018403263101844983,0.003451529395247109,0.005055338907950195,0.004869313074653594,0.002467905467469419,0.002483692634368411,0.006362044986003646,0.006106098829774956,0.0012762384283257948,0.0011161904906576267,0.0011384959352005457,0.00043820088785487846,0.00041098371468801815,0.00023913803932982248,0.00014618023386482785,0.00013180565145990864,1.2761977028680857e-05,0.549414226550656
14.15,0.007586068922909207,0.014712736839444041,0.01309108833642604,0.014727305302196349,0.00510196211486397,0.011766285992782094,0.00941153032160522,0.018373135759339045,0.018321553033781576,0.0033923703250917933,0.005037780135769531,0.0048347158289762885,0.002457741674820835,0.0024772156245817852,0.006273543825876368,0.006019727639699398,0.0012535805406282351,0.001115213082743024,0.0011332680343484785,0.0004331679741524943,0.00040731488805341345,0.00023492536136187798,0.00014611253175304074,0.0001312715891664189,1.25375431142864e-05,0.5459329172004347
14.200000000000001,0.007582728178557179,0.014644819329177869,0.01308079898127624,0.014710437936227653,0.005086667978091179,0.011646056606681766,0.009295741427473534,0.018296924257754494,0.018239763749408045,0.0033342995991836144,0.005019758037992732,0.004799819367928449,0.002448156148605294,0.0024711856492333293,0.006186230559395511,0.005934538771922782,0.0012312270156598839,0.0011141343852546597,0.0011279037017346465,0.00042834380058134956,0.0004038195436531393,0.00023076351241961015,0.00014603377787612037,0.0001307205137329443,1.2315781637456243e-05,0.542481386387655
