event_number,record_index,step_number,vlm,pdg,track_id,E0_keV,Eprime_k_keV,E0_minus_Eprime_keV,px,py,pz,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_au,Q_abs_au
7802,7,7,5,22,1,662.0,648.11130394,13.88869606,-0.09892707,-0.98345854,-0.15173245,10.43578301,0.98345854,119.94629204,-0.8039665,-0.21569212,0.21569212
7855,7,7,5,22,1,662.0,582.54696039,79.45303961,-0.42325776,-0.89472105,0.14257321,26.52737847,0.89472105,295.82700819,-10.669432,-2.86244815,2.86244815
7892,7,7,5,22,1,662.0,615.99236412,46.00763588,-0.313822,-0.94234771,0.11617464,19.55036336,0.94234771,221.66733214,-4.77427649,-1.28086658,1.28086658
8029,10,10,5,22,1,662.0,0.0,662.0,-0.63620117,-0.74383788,-0.20482499,41.9406212,0.74383788,662.0,180.0,48.29129308,48.29129308
8295,7,7,5,22,1,662.0,645.45051068,16.54948932,-0.21669202,-0.95598723,0.19782056,17.06211415,0.95598723,194.64367252,-53.87429474,-14.45366309,14.45366309
8295,8,8,5,22,1,662.0,645.45051068,16.54948932,-0.21669202,-0.95598723,0.19782056,17.06211415,0.95598723,194.64367252,-53.87429474,-14.45366309,14.45366309
8362,7,7,5,22,1,662.0,624.59988138,37.40011862,-0.19688223,-0.95377967,-0.22702805,17.48804616,0.95377967,199.05177359,-3.51337573,-0.94258587,0.94258587
8477,7,7,5,22,1,662.0,415.52691245,246.47308755,-0.85893248,-0.47642121,-0.18777066,61.54807482,0.47642121,590.59279624,-82.03990643,-22.01007314,22.01007314
8477,8,8,5,22,1,662.0,415.52691245,246.47308755,-0.85893248,-0.47642121,-0.18777066,61.54807482,0.47642121,590.59279624,-82.03990643,-22.01007314,22.01007314
8483,7,7,5,22,1,662.0,456.69837455,205.30162545,0.15785755,-0.74392639,0.64934931,41.93303365,0.74392639,443.83380121,14.45340359,3.87763083,3.87763083
