energy_center_keV,raw_counts,smoothed_counts
649.0,2,0.7270950590838798
651.0,0,1.044629628015778
653.0,0,1.502202342557392
655.0,5,1.8277450390484802
657.0,2,1.6119609614546058
659.0,0,0.9746973250246384
661.0,0,0.39883253241487593
663.0,0,0.1099757071304023
665.0,0,0.020335787283888403
667.0,0,0.0025024984994547798
669.0,0,0.00017844213727078462
671.0,0,0.0
673.0,0,0.0
675.0,0,0.0
677.0,0,0.0
679.0,0,0.0
681.0,0,0.0
683.0,0,0.0
685.0,0,0.0
687.0,0,0.0
689.0,0,0.0
691.0,0,0.0
693.0,0,0.0
695.0,0,0.0
697.0,0,0.0
699.0,0,0.0
