event_number,et_index,stored_et_keV,number_of_vlm4_gamma_records
3924,0,186.57734864974628,1
3924,1,0.0,1
3924,2,0.0,1
3924,3,186.57734864974628,1
4205,0,57.571020763787395,1
4205,1,0.0,1
4205,2,0.0,1
4205,3,57.571020763787395,1
4236,0,80.41498724859397,1
4236,1,0.0,1
4236,2,0.0,1
4236,3,80.41498724859397,1
4260,0,135.37502470153362,1
4260,1,0.0,1
4260,2,0.0,1
4260,3,135.37502470153362,1
4358,0,347.95034771200955,2
4358,1,0.0,2
4358,2,0.0,2
4358,3,102.24805930951175,2
4358,4,245.7022884024978,2
4574,0,74.06965625890317,1
4574,1,0.0,1
4574,2,0.0,1
4574,3,74.06965625890317,1
4764,0,105.63692499851973,1
4764,1,0.0,1
4764,2,0.0,1
4764,3,105.63692499851973,1
4775,0,34.6714434995754,1
4775,1,0.0,1
4775,2,0.0,1
4775,3,34.6714434995754,1
4849,0,7.164383852405874,1
4849,1,0.0,1
4849,2,0.0,1
4849,3,6.131622293979666,1
4849,4,0.0,1
4849,5,0.0,1
4849,6,1.0327615584262084,1
4888,0,91.66189432897065,1
4888,1,0.0,1
4888,2,0.0,1
4888,3,91.66189432897065,1
4942,0,221.7993937118046,1
4942,1,0.0,1
4942,2,0.0,1
4942,3,221.7993937118046,1
5028,0,45.34302788914335,1
5028,1,0.0,1
5028,2,0.0,1
5028,3,45.34302788914335,1
5068,0,129.69428469853716,1
5068,1,0.0,1
5068,2,0.0,1
5068,3,129.69428469853716,1
5199,0,234.4113598819847,2
5199,1,0.0,2
5199,2,0.0,2
5199,3,144.5211261026943,2
5199,4,89.8902337792904,2
5248,0,79.15718243553304,1
5248,1,0.0,1
5248,2,0.0,1
5248,3,79.15718243553304,1
5381,0,74.450364193272,1
5381,1,0.0,1
5381,2,0.0,1
5381,3,74.450364193272,1
5388,0,91.694401019911,1
5388,1,0.0,1
5388,2,0.0,1
5388,3,91.694401019911,1
5631,0,205.00360775886006,1
5631,1,0.0,1
5631,2,0.0,1
5631,3,205.00360775886006,1
5643,0,211.720715527044,1
5643,1,0.0,1
5643,2,0.0,1
5643,3,211.720715527044,1
5665,0,144.59491960473935,1
5665,1,0.0,1
5665,2,0.0,1
5665,3,144.59491960473935,1
5865,0,209.59886749464516,1
5865,1,0.0,1
5865,2,0.0,1
5865,3,209.59886749464516,1
6106,0,162.9777900452886,2
6106,1,0.0,2
6106,2,0.0,2
6106,3,34.36060162452781,2
6106,4,128.61718842076078,2
6131,0,163.34687240782551,1
6131,1,0.0,1
6131,2,0.0,1
6131,3,163.34687240782551,1
6317,0,115.43608460631516,1
6317,1,0.0,1
6317,2,0.0,1
6317,3,115.43608460631516,1
6559,0,194.23888751240492,1
6559,1,0.0,1
6559,2,0.0,1
6559,3,194.23888751240492,1
6687,0,316.93879041873413,2
6687,1,0.0,2
6687,2,0.0,2
6687,3,154.0925948131142,2
6687,4,162.84619560561995,2
6837,0,119.04782803633273,1
6837,1,0.0,1
6837,2,0.0,1
6837,3,119.04782803633273,1
7038,0,196.22651898895327,1
7038,1,0.0,1
