event_number,track_id,record_index,step_number,vlm,pdg,E0_keV,Eprime_k_keV,Et_E0_minus_Eprime_keV,stored_et_keV,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au,px,py,pz
81893,1,7,7,4,22,662.0,612.663094,49.336906,,20.308108,0.93784,229.905069,-5.293539,-1.420177,1.420177,0.323404,-0.93784,0.125961
81948,1,7,7,4,22,662.0,548.369994,113.630006,,32.854487,0.840051,359.223324,-17.971454,-4.821471,4.821471,0.469505,-0.840051,0.271807
82112,1,7,7,4,22,662.0,605.970107,56.029893,,21.778123,0.928628,245.767732,-6.386572,-1.713421,1.713421,0.368319,-0.928628,-0.044632
82225,1,6,6,4,22,662.0,227.407142,434.592858,,73.194501,0.289124,634.749251,32.491011,8.71685,8.71685,-0.946279,-0.289124,0.14479
82281,1,7,7,4,22,662.0,197.723543,464.276457,,150.234211,-0.868062,839.395653,-137.059635,-36.771039,36.771039,0.262881,0.868062,0.421144
82352,1,7,7,4,22,662.0,563.106887,98.893113,,30.181379,0.864438,332.939025,-14.686822,-3.940253,3.940253,0.408093,-0.864438,-0.29361
82445,1,7,7,4,22,662.0,538.058087,123.941913,,34.695161,0.822192,376.868628,-20.380215,-5.467705,5.467705,0.510978,-0.822192,0.250802
82510,1,7,7,4,22,662.0,587.461565,74.538435,,25.5699,0.902059,285.891756,-9.716642,-2.606829,2.606829,0.428071,-0.902059,-0.055173
82760,1,7,7,4,22,662.0,580.436377,81.563623,,26.933678,0.891531,300.017448,-11.086766,-2.974413,2.974413,0.41755,-0.891531,-0.175566
82879,1,6,6,4,22,662.0,510.03781,151.96219,,39.644557,0.770017,422.371322,-27.336344,-7.33393,7.33393,0.616423,-0.770017,0.164609
82941,1,7,7,4,22,662.0,502.826755,159.173245,,40.917868,0.755649,433.602157,-29.215462,-7.838069,7.838069,0.645251,-0.755649,-0.112451
83060,1,7,7,4,22,662.0,501.38442,160.61558,,41.172951,0.752726,435.828106,-29.5954,-7.940001,7.940001,0.654137,-0.752726,-0.074222
