Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_5s1/2(1),J_total_Rb_relativistic
3.25,0.044455027606938716,0.12455685706458616,0.0822679720447366,0.16819862240718814,0.06083162035715156,0.14094773516663756,0.27822562056799216,0.2991784222988336,0.44951420341213033,0.03262162959842253,0.01737860525031149,0.03504553268127414,0.0010493167384530364,1.7342711651946563
3.3000000000000003,0.04442282190473626,0.12344621396428458,0.08219122883415482,0.16803046343569497,0.058015197711047996,0.13741848991027514,0.2709476991213244,0.2956428469741111,0.44411116110196736,0.031023702769519164,0.01733919305380205,0.034915999574072876,0.001000173470004235,1.7085051918249952
3.35,0.04439015723652539,0.12232985274205538,0.08211159296120553,0.16785601653009416,0.055356186967029465,0.1339122030034683,0.26372836622539625,0.29206762449573975,0.43865006142156293,0.02946267943388331,0.017282558400216082,0.03474622504540163,0.0009516869448022333,1.6828452114073804
3.4000000000000004,0.04435703504645886,0.12120815552329497,0.08202902067924843,0.16767519014626037,0.052849755441499155,0.1304324838083427,0.2565749157656641,0.28845660284764724,0.4331368063307649,0.02794300344622753,0.01720719403439059,0.03453457848865089,0.0009040657210020255,1.6573088072794517
3.45,0.04432345679722119,0.12008150219160388,0.08194346959200642,0.16748789583585502,0.05049095078587479,0.12698276015972737,0.24949423291471967,0.28481358831911985,0.4275772253295156,0.026468410845982712,0.017112163687383077,0.03428041949500879,0.0008574908740426335,1.6319135668280609
3.5,0.04428942396989336,0.11895027018216164,0.08185489869285088,0.16729404832951403,0.04827472609915051,0.123566275313724,0.2424927902825562,0.2811423346646168,0.4219770592562333,0.025041974181973795,0.016997012726582324,0.033983929281599545,0.0008121172360059272,1.6066768602168622
3.5500000000000003,0.04425493806381607,0.1178148342802774,0.0817632684021027,0.16709356561542887,0.04619596366147752,0.12018608592166585,0.23557664622125804,0.27744653327347524,0.41634194565639704,0.023666149263861038,0.016861689011611558,0.0336459625323451,0.0007680748613474991,1.5816156567650639
3.6,0.04422000059645147,0.11667556642523733,0.08166854060232936,0.166886369013285,0.04424949727285417,0.11684506096537292,0.22875144513088358,0.27372980432446825,0.41067740567750727,0.022342823147903083,0.016706473076257937,0.03326791775530937,0.0007254706459969677,1.5567463746338566
3.6500000000000004,0.044184613103243474,0.11553283551956137,0.08157067867162168,0.16667238324352834,0.04243013319102733,0.1135458815883756,0.2220224196124827,0.26999568889466546,0.40498883243856343,0.021073362381495354,0.01653191679704358,0.03285162437013114,0.0006843900375143415,1.532084759849254
3.7,0.04414877713747671,0.11438700724377283,0.08146964751483711,0.1664515364919403,0.040732669671826816,0.11029104175721748,0.21539439431476962,0.26624764198752576,0.39928148081570075,0.019858660719900036,0.01633878975405618,0.032399244853809434,0.000644898785091237,1.5076457910479244
3.75,0.044112494270133994,0.11323844387677463,0.08136541359280033,0.16622376046950824,0.039151915123394145,0.10708284968698532,0.20887179132278522,0.26248902644153127,0.39356045858050515,0.018699185692099836,0.016128032537611435,0.031913190389385726,0.000607044689252581,1.4834436066727676
3.8000000000000003,0.04407576608975248,0.11208750412191765,0.08125794494945483,0.16598899046758686,0.03768270489314967,0.10392342996579071,0.2024586369397865,0.2587231076778798,0.3878307188236674,0.017595023533201918,0.015900716303713668,0.031396048577866306,0.0005708593222827879,1.4594914516660507
3.85,0.04403859420227844,0.1109345429388373,0.08114721123696259,0.16574716540835377,0.03631991671289076,0.1008147263139724,0.1961585697174312,0.25495304924370027,0.38209705359390356,0.01654592212062284,0.0156580079308923,0.030850521887661304,0.000536359698559443,1.4358016410060663
3.9000000000000004,0.04400098023092072,0.10977991138112539,0.08103318373875232,0.16549822789056903,0.03505848483316173,0.09775850491524317,0.18997484959394878,0.2511819091058678,0.37636408868033633,0.01555133165263927,0.015401140180010793,0.030279375626593687,0.0005035498803104012,1.4123855377094792
3.95,0.043962925816002904,0.10862395643989614,0.08091583539051968,0.1652421242306567,0.03389341288301914,0.0947563582588103,0.18391036800526883,0.24741263664969598,0.3706362794656874,0.014610442892917016,0.01513138630657778,0.029685394327784265,0.0004724225070666428,1.3892535431739028
4.0,0.04392443261481416,0.1074670208932956,0.08079514079918602,0.16497880449913266,0.032819785495571144,0.09180970943359582,0.17796765883988733,0.24364807033649846,0.364917907777552,0.013722222875315873,0.014850038621512561,0.029071345541410845,0.00044296023949139357,1.3664150979672636
4.05,0.043885502301458844,0.1063094431619962,0.0806710762598253,0.16470822255241047,0.0318327787432399,0.08891981681802537,0.17214891011448222,0.23989093597417807,0.3592130796656177,0.012885448021429224,0.014558390540748926,0.028439950119137747,0.00041513711078127244,1.3438786913833314
4.1000000000000005,0.04384613656670487,0.10515155717070883,0.08054361977057144,0.16443033606002297,0.030927669429623494,0.08608777911138885,0.16645597625382968,0.2361438455555493,0.3535257240338465,0.01209873467058739,0.014257721706080952,0.02779385816705366,0.0003889197817696646,1.3216518782777376
4.15,0.043806337117830864,0.10399369221573719,0.08041275104552173,0.16414510652730438,0.030099843287162854,0.08331454065546175,0.1608903908653344,0.23240929661997659,0.3478595920582709,0.01136056705989328,0.013949285799084271,0.02713562992627589,0.00036426869857059834,1.2997413018764246
