volume,theta_bin_left_deg,theta_bin_right_deg,theta_bin_center_deg,counts,mean_theta_deg,std_theta_deg,mean_Eprime_keV,std_Eprime_keV,mean_Et_keV,std_Et_keV,mean_qc_keV_c,std_qc_keV_c,mean_Q_keV_c,std_Q_keV_c,mean_Q_au,std_Q_au,mean_Abs_Q_au,std_Abs_Q_au
2,66.0,68.0,67.0,27,66.77586888123354,0.47989941371953077,359.7574755986729,56.759631930517976,302.2425244013271,56.759631930517976,618.9163324091501,7.003593932696673,-59.55937490645532,51.249241915962905,-15.9788846070042,13.749400897134958,19.868728133438964,6.651412033883042
2,68.0,70.0,69.0,25,68.85864574303686,0.5137377166618576,339.3711985527563,68.4789602531662,322.6288014472437,68.4789602531662,628.984311520567,2.7678838134318213,-52.36520541403063,55.80939350367785,-14.048797121310582,14.972820990528962,19.628152461772668,5.334858359862189
2,70.0,72.0,71.0,39,70.78354618643452,0.5261995793933029,346.6016458633698,35.94300883818544,315.3983541366302,35.94300883818545,639.2404572590111,3.939294433946489,-67.38310768162152,31.43304506833421,-18.077874453804423,8.43301328770724,19.630954930590054,3.3180847208108655
2,72.0,74.0,73.0,19,72.72810404863868,0.5565291995712913,343.91116289731764,10.987927162383762,318.08883710268236,10.987927162383762,649.1730234713062,3.707257841421864,-74.1692784420239,10.865678337238927,-19.89850201536304,2.9150980949725884,19.89850201536304,2.9150980949725884
2,74.0,76.0,75.0,25,74.966147218264,0.5472216501768031,331.16795166805787,33.55869838506532,330.83204833194213,33.55869838506533,659.7062227085231,4.948267281597243,-73.42376452178857,30.52443832001958,-19.698491841934164,8.189247761167247,21.266462001754814,0.3944966633480863
2,76.0,78.0,77.0,20,77.15422059562647,0.6030907723072002,333.8728964768969,19.141353553812028,328.1271035231031,19.141353553812028,672.051839366541,5.58317387363126,-86.42390298926338,18.32048317570169,-23.18623349088727,4.915110124457845,23.18623349088727,4.915110124457845
2,78.0,80.0,79.0,23,78.97901862868711,0.6058598475697693,322.30812712591575,3.83224499074964,339.69187287408425,3.83224499074964,678.6247423314252,2.8114286032158464,-83.52573333561358,3.3144603379272604,-22.40869815677864,0.8892198643356083,22.40869815677864,0.8892198643356083
2,80.0,82.0,81.0,27,81.11825236030927,0.6499796801239137,309.9464061801148,30.734457472298004,352.0535938198852,30.73445747229801,686.9315235603472,7.003462683352253,-81.33998821590488,29.721244798952767,-21.82229561136908,7.973763018246803,23.160339451403228,1.0378860558016172
2,82.0,84.0,83.0,19,82.96244014958367,0.6092409481629271,302.65077603446,37.78353042314114,359.34922396554,37.78353042314114,694.293517321968,8.902699403277294,-82.28975136201827,36.76789088381584,-22.07710278051024,9.864272192214324,23.983188427463634,2.152095187426966
2,84.0,86.0,85.0,18,85.07754336831965,0.6085254993721914,286.8186870183072,58.68997271108509,375.1813129816928,58.68997271108509,700.7296190598352,16.177476224372047,-75.70133278142514,58.40223781788287,-20.309529154909114,15.66844212768295,24.58834324885991,6.487669988305066
2,86.0,88.0,87.0,19,87.17746668291711,0.5326426845426754,292.77171505144224,17.112804185588303,369.22828494855776,17.1128041855883,710.6897584124371,5.658941807749967,-89.76032046205825,17.325737364553646,-24.081344124306682,4.64823478275723,24.081344124306682,4.64823478275723
2,88.0,90.0,89.0,21,88.8311533824873,0.5952020990918208,286.1103252396758,35.43644878316001,375.8896747603242,35.43644878316001,716.5946344840127,12.056174491417101,-89.77081985810784,36.69876802927443,-24.084160954372198,9.845727569841129,25.333159680723913,5.6683394675983205
